syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(35.450227746869494, 0.18571602141496776)","(15.236472091827007, 2.3167441417944885)","(0.6672544009192632, 0.30715446920339423)","(3.963500523222799, 0.3130926619392296)","(3.989352273007732, 0.11689046727860579)","(1.4331436705132925, 0.15524336548442386)"
L1PrefireUp,"(35.08174222995389, 0.1838338461650784)",-,-,"(3.9229817765769264, 0.30997620360003497)","(3.9420559638558452, 0.11557829719435697)","(1.4158709040225133, 0.15402225123074306)"
L1PrefireDown,"(35.80906589864029, 0.1875577091463967)",-,-,"(4.0034859944139685, 0.31620267257339235)","(4.035889527121446, 0.11818777341734965)","(1.4502498269331696, 0.156471281205869)"
PileupReweightUp,"(34.992766911090634, 0.1830792505085558)",-,-,"(4.015380929371351, 0.3137105255090893)","(3.964330169094931, 0.1155573454985294)","(1.4304313059875418, 0.1566641251449149)"
PileupReweightDown,"(35.87365567937314, 0.19135540898738718)",-,-,"(3.9059462613624585, 0.31758539802587243)","(4.000178372549859, 0.12002098119521015)","(1.4341381090721645, 0.1516543890363179)"
MuonIDSFUp,"(36.22288555699769, 0.18982704737266326)",-,-,"(4.055161317418143, 0.31965595390705315)","(4.07745985546884, 0.11951606221846678)","(1.4688621820706003, 0.16054840341849783)"
MuonIDSFDown,"(34.68678081562127, 0.18169345303444104)",-,-,"(3.8730288943854716, 0.3066630657949812)","(3.902306047596475, 0.11432157804068913)","(1.397844535205542, 0.14998808343153555)"
DblMuTrigSFUp,"(35.461863787201864, 0.18577630639409148)",-,-,"(3.9649885528740323, 0.3132023605057167)","(3.9907709214944744, 0.1169313291116015)","(1.4336271646629417, 0.15528370445103756)"
DblMuTrigSFDown,"(35.43845477778181, 0.18565504587825507)",-,-,"(3.961994671018117, 0.3129816971563514)","(3.9879152691954736, 0.11684909880128934)","(1.4326544713331764, 0.15520272723534453)"
JetResUp,"(35.4733350530111, 0.18577737747021886)",-,-,"(4.035664681891112, 0.3145353526261807)","(3.9796686391407152, 0.11686576448210549)","(1.4293693529671772, 0.15322160752447486)"
JetResDown,"(35.45019664684092, 0.18574118797599856)",-,-,"(3.97436734592679, 0.31334376643276607)","(3.9823479389097067, 0.11682512511997098)","(1.4229832472450585, 0.15520740663524285)"
JetEnUp,"(35.71915503785315, 0.18642064427913876)",-,-,"(4.113822854123579, 0.31840335208565623)","(3.992755176537503, 0.11715054355694512)","(1.4481294732044963, 0.153429770068841)"
JetEnDown,"(35.174001139072864, 0.1849700949809735)",-,-,"(3.7420369409455687, 0.30630338126594325)","(3.974625380920916, 0.11675082695857178)","(1.3985197934380091, 0.15492497456854382)"
MuonEnUp,"(35.473751831613406, 0.18579260718541007)",-,-,"(3.9334039843164956, 0.3130423839574689)","(3.998679919796609, 0.11683940763333435)","(1.4172620030533722, 0.1552316558894599)"
MuonEnDown,"(35.41653339793688, 0.18560786224735296)",-,-,"(3.958847503994696, 0.31308299849679194)","(4.003751305487398, 0.11697715790050618)","(1.4272526218249855, 0.15526433693050276)"
ElectronEnUp,"(35.450227746869494, 0.18571602141496776)",-,-,"(3.963500523222799, 0.3130926619392296)","(3.986225635572642, 0.11686927937632378)","(1.4331436705132925, 0.15524336548442386)"
ElectronEnDown,"(35.45103942204066, 0.1857177951268759)",-,-,"(3.963500523222799, 0.3130926619392296)","(3.989352273007732, 0.11689046727860579)","(1.4331436705132925, 0.15524336548442386)"
ElectronResUp,"(35.450227746869494, 0.18571602141496776)",-,-,"(3.963500523222799, 0.3130926619392296)","(3.989352273007732, 0.11689046727860579)","(1.4331436705132925, 0.15524336548442386)"
ElectronResDown,"(35.450227746869494, 0.18571602141496776)",-,-,"(3.963500523222799, 0.3130926619392296)","(3.989352273007732, 0.11689046727860579)","(1.4331436705132925, 0.15524336548442386)"
NonpromptUp,-,"(31.747390754907542, 4.303207246250995)",-,-,-,-
NonpromptDown,-,"(8.208821110490094, 2.09350885693154)",-,-,-,-
ConversionUp,-,-,"(0.9131025027057916, 0.4203247129737911)",-,-,-
ConversionDown,-,-,"(0.4214062991327349, 0.19398422543299737)",-,-,-
