syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(3.472670941830256, 0.02006753623639666)","(12.220069453951066, 2.106906950278216)","(0.41838914384491077, 0.2779132145053866)","(5.851695448223125, 0.35123815364801864)","(6.805619504846036, 0.1476761880722694)","(2.532406338789337, 0.135511720685227)"
L1PrefireUp,"(3.4376128373667143, 0.019876728300125414)",-,-,"(5.794792695949753, 0.3481246378204898)","(6.720496311733593, 0.14596038750124093)","(2.491884498216302, 0.1340384759669847)"
L1PrefireDown,"(3.5071338966136225, 0.020257293238434917)",-,-,"(5.9080356392510405, 0.35434656629183536)","(6.889721990016263, 0.149398519569887)","(2.572867829063247, 0.13702556104036537)"
PileupReweightUp,"(3.4384423809209337, 0.02148247920646864)",-,-,"(5.889243763248843, 0.38866072893805365)","(6.761956090938324, 0.15894194600491113)","(2.527553364469903, 0.1365217642578226)"
PileupReweightDown,"(3.502135196202843, 0.019356577139612592)",-,-,"(5.77386766733801, 0.3292616282078437)","(6.860840618946247, 0.1418717166802043)","(2.539191079901513, 0.13803789838934524)"
MuonIDSFUp,"(3.5374572660647225, 0.020439353674497018)",-,-,"(5.966689600512786, 0.35760126030297906)","(6.929798607653065, 0.15032161100114122)","(2.579762054911736, 0.13820000190157986)"
MuonIDSFDown,"(3.408621991717176, 0.0197034469331487)",-,-,"(5.738232828402315, 0.3450113659732507)","(6.682919468613308, 0.1450851100778398)","(2.4856031829020773, 0.1328571904195528)"
DblMuTrigSFUp,"(3.473134876265657, 0.020070184151382883)",-,-,"(5.85274937420169, 0.35129696963133566)","(6.806811700466635, 0.1477021284177418)","(2.5327738499214734, 0.13552903594198706)"
DblMuTrigSFDown,"(3.472200960831773, 0.02006485429179385)",-,-,"(5.850622672202535, 0.3511783591477669)","(6.804408048364328, 0.1476498321138497)","(2.532033448150285, 0.1354941997273829)"
JetResUp,"(3.4732206609647243, 0.020068107356798034)",-,-,"(6.25087105945573, 0.3626679763393739)","(6.798157515325998, 0.14768695908169316)","(2.5358304941512526, 0.13562580820248696)"
JetResDown,"(3.4741660735526922, 0.020072182978588708)",-,-,"(5.977044942165789, 0.34945122113005816)","(6.808056285660498, 0.14768667415484543)","(2.531024638933553, 0.13555181181387022)"
JetEnUp,"(3.5063929305221597, 0.020160314504895707)",-,-,"(6.302592963343234, 0.36116998191798794)","(6.834055563961423, 0.1478928921807458)","(2.5653245097388706, 0.1359842746206522)"
JetEnDown,"(3.4388600552297284, 0.01997363058215119)",-,-,"(5.507946301064601, 0.34100792798013646)","(6.788180433862655, 0.1474763894126551)","(2.497562700675668, 0.13487353252000903)"
MuonEnUp,"(3.4749440966063116, 0.02006407763204227)",-,-,"(5.761797899716144, 0.3471592401393045)","(6.6651912104062205, 0.14627083913030756)","(2.4869676487913877, 0.13459967456349153)"
MuonEnDown,"(3.471399546528414, 0.02007027762656559)",-,-,"(5.99304981039397, 0.3561325876501225)","(6.939715343648036, 0.14941134403155082)","(2.587084219591692, 0.136166048210762)"
NonpromptUp,-,"(25.4920874004143, 4.01739468902882)",-,-,-,-
NonpromptDown,-,"(6.009965581083554, 1.8281659282306422)",-,-,-,-
ConversionUp,-,-,"(0.5725435063798805, 0.3803095960855042)",-,-,-
ConversionDown,-,-,"(0.26423478130994116, 0.17551683292526915)",-,-,-
