# syst, prompt_ratio, error
Central, 0.21133532736670452, 0.00018047060522520913
PileupReweight, 0.2099042096462881, 0.00018302892791056182
L1PrefireUp, 0.21095273311370133, 0.00017643949245277747
L1PrefireDown, 0.21172410892821114, 0.0001846225746232619
ElectronRecoSFUp, 0.20652585032407542, 0.00016227571527310984
ElectronRecoSFDown, 0.21133532736670452, 0.00018047060522520913
HeavyTagUpUnCorr, 0.21130961830354267, 0.0001808280019149416
HeavyTagDownUnCorr, 0.21136078919609172, 0.00018009000764398534
LightTagUpUnCorr, 0.21062225636147983, 0.00017786127447029816
LightTagDownUnCorr, 0.2120533233087386, 0.00018313103762218107
JetResUp, 0.21392939906453556, 0.00019026947955678926
JetResDown, 0.21460391240083954, 0.00020369784468704538
JetEnUp, 0.21086427023339877, 0.000172405321268915
JetEnDown, 0.2203180883792828, 0.00023123918488199277
ElectronResUp, 0.21133501744018618, 0.00018037790032860064
ElectronResDown, 0.21133532736670452, 0.00018047060522520913
ElectronEnUp, 0.21095686616770135, 0.0001834423921983284
ElectronEnDown, 0.21146335272111988, 0.00017696367260702228
MuonEnUp, 0.2113351958265531, 0.00018047003035988609
MuonEnDown, 0.21133589930026675, 0.0001804721080299936
total error = 0.010834940888656077(5.13%)
