# syst, prompt_ratio, error
Central, 0.5309346343732662, 1.3550080883457e-05
PileupReweight, 0.523198268357213, 1.436704202014636e-05
L1PrefireUp, 0.5309397438176504, 1.3475139717973792e-05
L1PrefireDown, 0.5309477378726353, 1.3627205104199499e-05
MuonRecoSFUp, 0.53092269549974, 1.3555521088105304e-05
MuonRecoSFDown, 0.5309465847669428, 1.3544635641958834e-05
HeavyTagUpUnCorr, 0.5304459207601858, 1.3485047486826205e-05
HeavyTagDownUnCorr, 0.5314239218595669, 1.3614549833938137e-05
LightTagUpUnCorr, 0.5302956936386053, 1.3467607338459192e-05
LightTagDownUnCorr, 0.5315752086653076, 1.3633109483076427e-05
JetResUp, 0.5322238642841914, 1.3509904656219653e-05
JetResDown, 0.531562985687229, 1.3485645809967151e-05
JetEnUp, 0.5316832992264164, 1.3276357679457754e-05
JetEnDown, 0.5362909011689959, 1.5483589234407005e-05
ElectronResUp, 0.5309346174377062, 1.3550082632001343e-05
ElectronResDown, 0.5309346343732662, 1.3550080883457e-05
ElectronEnUp, 0.5309335177047894, 1.354980438654903e-05
ElectronEnDown, 0.5309363668866823, 1.3550605780473387e-05
MuonEnUp, 0.5309691322930098, 1.3615210700350567e-05
MuonEnDown, 0.5308950618330377, 1.3737817205254839e-05
total error = 0.009531782186905332(1.80%)
