# syst, prompt_ratio, error
Central, 0.2273333018999052, 0.00013522349510832455
PileupReweight, 0.2193109058758444, 0.0001371236279506305
L1PrefireUp, 0.22709593657685592, 0.00013195987619698483
L1PrefireDown, 0.22758439400128344, 0.00013860701443867767
ElectronRecoSFUp, 0.22392947822296483, 0.0001258907600335679
ElectronRecoSFDown, 0.2273333018999052, 0.00013522349510832455
HeavyTagUpUnCorr, 0.2271979834772963, 0.00013501184002627552
HeavyTagDownUnCorr, 0.22746817948765774, 0.00013543093907101788
LightTagUpUnCorr, 0.22709159201643553, 0.00013427649636962069
LightTagDownUnCorr, 0.2275762804925773, 0.00013614561596244024
JetResUp, 0.22393074685308068, 0.00013148957074504415
JetResDown, 0.22850293832590146, 0.00014825143041659027
JetEnUp, 0.22269326116304172, 0.00011921161721832131
JetEnDown, 0.22837130766872915, 0.0001461170217416079
ElectronResUp, 0.22733343004043752, 0.00013411066366587947
ElectronResDown, 0.2273333018999052, 0.00013522349510832455
ElectronEnUp, 0.2272849688370457, 0.00013688883174902352
ElectronEnDown, 0.2273442939627474, 0.00013060809410162357
MuonEnUp, 0.2273331221824917, 0.00013522295307840754
MuonEnDown, 0.22733364516533222, 0.00013522449992353066
total error = 0.01045051343261203(4.60%)
