# syst, prompt_ratio, error
Central, 0.698198622790331, 0.0349682429010066
PileupReweight, 0.7051046890283722, 0.0025829392981921283
L1PrefireUp, 0.6981936115255887, 0.034966077800013935
L1PrefireDown, 0.6982026702685331, 0.03496912075724655
MuonRecoSFUp, 0.6981523143160637, 0.03496406128952565
MuonRecoSFDown, 0.6982449965021367, 0.03497243044828746
HeavyTagUpUnCorr, 0.7038735623663668, 0.0028599851256324274
HeavyTagDownUnCorr, 0.6979795983933765, 0.034939765131427984
LightTagUpUnCorr, 0.6982909165003718, 0.034970425319451326
LightTagDownUnCorr, 0.6981692502002804, 0.03496606490805903
JetResUp, 0.7023044752977776, 0.007637375731059509
JetResDown, 0.7091939443992348, 0.008564117207384384
JetEnUp, 0.7077482344765348, 0.0025525765104267577
JetEnDown, 0.6932018005492208, 0.0028889348191681115
ElectronResUp, 0.6981986301811041, 0.034968247638285314
ElectronResDown, 0.698198622790331, 0.0349682429010066
ElectronEnUp, 0.6981984667519305, 0.03496796967385032
ElectronEnDown, 0.6981986717379367, 0.03496850767239752
MuonEnUp, 0.7039484528661886, 0.0030804477236753406
MuonEnDown, 0.6982520087629002, 0.034968624667204164
total error = 0.03934259932933576(5.63%)
