,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,ElectronRecoSFUp,ElectronRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p8,195.7523278273697,2.624548523731716,190.27967097371243,194.69619317052437,196.76889377199254,210.97010320377106,195.7523278273697,195.91394643620313,195.74829624207914,197.05600317792968,194.9347604221537,195.75232782736964,195.7523278273697,195.68061993405232,196.03176388526563,195.7523278273697,195.7523278273697,171.46407101761707,211.72990436641632,156.52188709578846
ptCorr_10to15_abseta_0p8to1p479,114.53916542803536,1.9704250125586829,111.9585628335458,113.92308324492036,115.12826759934477,120.69332907168467,114.53916542803536,114.57192732834773,114.6795404553358,115.7267210155344,113.89552060934365,114.54277468620678,114.53916542803536,114.53720197103152,114.65212420112196,114.53916542803536,114.53916542803536,99.67608605462644,124.53523051140274,92.06787718475252
ptCorr_10to15_abseta_1p479to2p5,91.77215203654211,1.7709435172041659,86.42619306885288,91.2464853168322,92.28062907096609,93.67483175012099,91.77215203654211,91.81455678073627,91.86337915722542,92.15409471513527,91.07934408369405,91.77215203654211,91.77215203654211,91.5170014119766,91.96785471454577,91.77215203654211,91.77215203654211,80.8078628367707,97.65929645809331,74.41732896162722
ptCorr_15to20_abseta_0p0to0p8,237.36254596983568,2.9213901227841794,233.8327315911737,236.04240292223875,238.6286553038032,255.81509745379657,237.36254596983568,237.6590417629502,237.45320801610953,239.33674212310086,235.46305384844368,237.34659128093648,237.36254596983568,236.83199640595438,237.34722391735886,237.36254596983568,237.36254596983568,207.19112404011653,255.83784318440843,187.8592532570486
ptCorr_15to20_abseta_0p8to1p479,144.11425279585853,2.2381518607304955,140.46653626581278,143.2820809183942,144.91331393376896,151.7848023655239,144.11425279585853,144.27170887348356,144.24963270966978,145.44885969392425,143.05929163829146,144.07870872780285,144.11425279585853,143.85337972000633,144.2176086926826,144.11425279585853,144.11425279585853,126.56444354931412,155.5906300048337,113.34208884080492
ptCorr_15to20_abseta_1p479to2p5,120.23568483975555,2.0360349824992783,115.3290048590709,119.50946955154217,120.93721776411748,122.73107511768089,120.23568483975555,120.19748287110698,120.20072598010292,120.8453428073262,119.28946423107885,120.27081327590271,120.23568483975555,120.22043662347588,120.72574763320617,120.23568483975555,120.23568483975555,105.2428014715348,128.78397811157382,95.40686346266494
ptCorr_20to25_abseta_0p0to0p8,246.46517462578043,2.946558347520966,242.62073247154967,245.1812404504148,247.6917250726844,246.9819528923148,246.46517462578043,246.64955698864713,246.6923376606596,248.55757454556027,244.97158285855107,246.43612455774374,246.46517462578043,246.06356717574093,246.75709718363584,246.46517462578043,246.46517462578043,215.53317499322588,264.5542548286006,195.72955231969314
ptCorr_20to25_abseta_0p8to1p479,156.1185562990167,2.3708350339236266,152.6694622098501,155.26278953680782,156.93794654580202,156.48917753421244,156.1185562990167,155.8001247710894,156.17266830252743,156.96686326293238,154.837128656836,156.0943305863721,156.1185562990167,155.8800009954502,156.57876779001208,156.1185562990167,156.1185562990167,136.66169729811804,167.37431556408296,124.08803435579809
ptCorr_20to25_abseta_1p479to2p5,123.36901909278181,2.074074479696366,119.90862104794179,122.10225825217424,124.57208143789306,123.80634995879056,123.36901909278181,123.23494334129175,123.34588856980022,124.18319994335778,122.3001215174234,123.30545325890532,123.36901909278181,122.88936239798774,123.53616184768022,123.36901909278181,123.36901909278181,108.84878405029195,132.5669159936167,96.01621346364786
ptCorr_25to35_abseta_0p0to0p8,513.8551985547299,4.233674479859091,505.65739464185265,511.2333214961641,516.3603944993454,514.9330793647304,513.8551985547299,513.7936406465657,514.1834482903374,517.9946098771909,510.6083614860844,513.8137095756621,513.8551985547299,513.9558194239387,514.40804135388,513.8551985547299,513.9180323940237,454.166937210026,550.2243072196678,407.6064304618872
