,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,ElectronRecoSFUp,ElectronRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p8,1618.407894966807,42.62780114252462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.6141497193563,3706.7756622510765,204.04843266261267
ptCorr_10to15_abseta_0p8to1p479,1059.2097147397815,34.56418390435916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.39488190260386,2369.895688330868,146.97821874395598
ptCorr_10to15_abseta_1p479to2p5,1638.620943244437,43.28208434539799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.9630276196561,3812.285185962975,139.73136126174845
ptCorr_15to20_abseta_0p0to0p8,559.0656316157452,25.044464066374317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.74229984586134,1261.9796569711202,93.20401860045145
ptCorr_15to20_abseta_0p8to1p479,461.1641564008458,22.777785542346344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.22362715152002,1044.1474824475126,53.18151980002612
ptCorr_15to20_abseta_1p479to2p5,1078.43141886774,35.19121626968608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.304720029504,2349.6864084976573,90.64502835017319
ptCorr_20to25_abseta_0p0to0p8,659.4533995645088,28.922805838460096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.6297643075244,1344.107423288205,90.01857186873666
ptCorr_20to25_abseta_0p8to1p479,621.2421668185901,28.220570602988065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.3888945366883,1295.6590517919594,67.77242542614025
ptCorr_20to25_abseta_1p479to2p5,1611.5037509449762,45.39618603649567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.2748260725937,3165.693679409631,114.44482037955919
ptCorr_25to35_abseta_0p0to0p8,584.284334844937,27.156077975595483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.4759950457216,1018.7989759330255,52.466420024311354
ptCorr_25to35_abseta_0p8to1p479,559.9557143269969,26.70529977157736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.125114198036,1025.6019471834652,34.010126518321
ptCorr_25to35_abseta_1p479to2p5,1596.5575247406766,45.67410007418008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.8716952502226,2748.9220878597253,79.60408898963395
ptCorr_35to50_abseta_0p0to0p8,2035.2643172222754,52.77156574509636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.113474901592,2653.6570016921914,130.9670370941716
ptCorr_35to50_abseta_0p8to1p479,2086.002356815938,53.370096716137326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.1091025280393,2763.9316903171,142.2110367095341
ptCorr_35to50_abseta_1p479to2p5,5274.916890931516,85.45618119799045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3163.9575013991353,7070.903565742438,248.681999571754
ptCorr_50to100_abseta_0p0to0p8,1309.4985659649346,42.47724441297786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1207.8742411590454,1592.9744569490026,120.59999556867261
ptCorr_50to100_abseta_0p8to1p479,1343.532958852862,43.20914475367634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.9133958019895,1654.8709656068875,90.74840793991969
ptCorr_50to100_abseta_1p479to2p5,3092.890078794116,65.74221929371768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2768.613099071575,3722.9364514624745,162.28579535093237
