,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,ElectronRecoSFUp,ElectronRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p8,104.81145572504767,3.8767159262177526,102.80243810670768,104.30642105900611,105.30361140584253,112.95206006896126,104.81145572504767,104.36833132591426,104.42644219841482,107.02036248048812,101.01065184993962,104.81145572504767,104.81145572504767,104.90030435404663,104.81145572504767,104.81145572504767,104.81145572504767,69.57755780388692,135.0630876891616,15.827650573834749
ptCorr_10to15_abseta_0p8to1p479,64.78237014561113,2.9918726701626435,64.43289827176018,64.55738285737326,65.00248475672328,68.16308241951016,64.78237014561113,65.04420720168523,64.54754015047688,66.97633069200452,63.4417915333979,64.78237014561113,64.78237014561113,65.07660703030056,64.94860269976037,64.78237014561113,64.78237014561113,44.32543649176042,85.39057115266894,10.887081634354866
ptCorr_10to15_abseta_1p479to2p5,53.92169520582693,2.7058411267786586,52.88578479619394,53.77964118885709,54.05859859488328,54.8245281379378,53.92169520582693,54.09235927397196,54.344311714456836,55.7791126729584,52.30980856809718,53.92169520582693,53.92169520582693,53.67166791616517,54.01138595336064,53.92169520582693,53.92169520582693,36.24580441700452,68.36063900119254,8.768388498385512
ptCorr_15to20_abseta_0p0to0p8,95.72183411689116,3.667136395214626,95.59923600599626,95.33312789700673,96.09926738282817,103.15645634619695,95.72183411689116,95.72924296155847,95.33598681991315,98.07644694523442,92.30474024914453,95.72183411689116,95.72183411689116,95.55501059780866,96.0192395798919,95.72183411689116,95.72183411689116,64.52430298127814,123.88016974984086,11.360732323926518
ptCorr_15to20_abseta_0p8to1p479,71.13823210295686,3.143977648209025,69.8591620602476,70.81386440660368,71.45742849260036,74.67810834135392,71.13823210295686,70.92239918137247,71.25084016415532,73.24896860356392,69.93798997718827,71.13823210295686,71.13823210295686,71.02843394249373,70.97199954880762,71.13823210295686,71.13823210295686,48.79898179948688,94.20695260968677,9.208514743256083
ptCorr_15to20_abseta_1p479to2p5,61.57282016515252,2.8835195150218658,61.095786010921906,61.31719997290013,61.82174809615434,62.598786767424535,61.57282016515252,61.48427018023987,61.37175224117672,62.753731384608926,59.798552660325704,61.57282016515252,61.57282016515252,61.40920586880818,61.508233794678894,61.57282016515252,61.57282016515252,42.34240135726525,77.1624001216237,8.027930229476274
ptCorr_20to25_abseta_0p0to0p8,92.24134149756927,3.6345564123795753,90.57248394152894,91.91005300604495,92.56121080612813,92.48482693932785,92.24134149756927,92.49664812104487,92.13538505320712,94.06857476446562,90.16319543977369,92.24134149756927,92.24134149756927,92.2483846790874,92.16460528895321,92.24134149756927,92.24134149756927,65.24687362154391,113.24382829424816,10.445462365281271
ptCorr_20to25_abseta_0p8to1p479,66.74097681477909,3.1079356758941414,64.59193200132154,66.44396611556519,67.03051493684289,66.90012485560733,66.74097681477909,66.72632403869731,66.49791382496792,68.80499283932127,65.74042437785714,66.74097681477909,66.74097681477909,66.66757019264332,66.86468647086569,66.74097681477909,66.74097681477909,45.612277505239874,86.47396417410803,9.04564238672316
ptCorr_20to25_abseta_1p479to2p5,77.86848285389351,3.379393181447141,73.8201534562818,77.36810807740515,78.3092931158826,78.12296448652964,77.86848285389351,77.53922880552744,77.35562840031298,79.21063036292897,76.19923879289405,77.86848285389351,77.86848285389351,77.69699229875751,77.95299174432404,77.86848285389351,77.86848285389351,52.779003717677845,97.6827921074292,8.09665627726014
ptCorr_25to35_abseta_0p0to0p8,178.08864460182247,5.045770959245833,173.09411715916664,177.62929383752055,178.52762782068217,178.55879377813866,178.08864460182247,178.27019091139155,178.20952713169245,182.10012806891447,174.48227014468486,178.08864460182247,178.08864460182247,178.13089896280337,178.50374274900898,178.08864460182247,178.08864460182247,120.84962987338999,217.71355098673055,19.970852292489916
ptCorr_25to35_abseta_0p8to1p479,126.3704224156734,4.224972883118999,125.45084487276824,125.78263187714636,126.94621184518414,126.67252338941195,126.3704224156734,126.74040698286922,126.45346490722247,129.0951249192312,123.80974209492284,126.37042241567342,126.3704224156734,126.28191332885312,126.54954072300639,126.3704224156734,126.3704224156734,90.13729040353999,156.2587414817111,15.137372714188768
ptCorr_25to35_abseta_1p479to2p5,149.9940230954187,4.6582080702632505,143.99228939283552,148.455348030677,151.50598477451456,150.48486840278085,149.9940230954187,150.5179590708653,149.81534013859175,152.7054180708313,146.62815241633794,149.91948362736787,149.9940230954187,150.28139420951388,150.6107329628434,149.9940230954187,149.9940230954187,101.96340409822348,185.5782348178941,14.958342314093587
ptCorr_35to50_abseta_0p0to0p8,204.33000194989287,5.491709077648531,203.29313040644848,203.8796596262153,204.75914076767967,204.92682904465786,204.33000194989287,204.69563209443587,204.4537118968569,209.92532592934418,200.61692881611572,204.33000194989285,204.33000194989287,204.23384948285855,204.00737765336748,204.33000194989287,204.33000194989287,151.5268845728768,242.12667116196104,23.79168327578193
ptCorr_35to50_abseta_0p8to1p479,174.11577005182846,5.136128880307666,168.49544882115273,173.50662575913327,174.7100863832096,174.53656340912164,174.11577005182846,174.2626746956891,174.249233207616,176.3725793630493,170.15295761392787,174.11577005182846,174.11577005182846,173.86596518642193,174.52508911570052,174.11577005182846,174.11577005182846,127.71877947630541,201.83558095867434,17.523247241503405
ptCorr_35to50_abseta_1p479to2p5,191.58541680756696,5.347951074456278,186.6655159221769,189.46959128811147,193.69414410667912,192.2595271742689,191.58541680756696,191.23673808904124,191.9735848786775,195.00783284005934,187.10873301805873,191.36436613560392,191.58541680756696,190.64924905791858,191.74297866226527,191.58541680756696,191.58541680756696,141.34426545844076,228.48441858834843,18.232176548212603
ptCorr_50to100_abseta_0p0to0p8,291.0329911589501,6.579105546136233,347.93167948559517,350.0416086724967,351.55825395145865,352.84034169436393,350.8134183274448,351.1440103780322,350.6177761484096,354.2013745787842,349.1012842507101,350.8134183274447,350.8134183274448,350.9645634611699,350.6402253387498,350.8134183274448,350.8134183274448,301.9472831998411,382.52157828231566,42.44816425569821
ptCorr_50to100_abseta_0p8to1p479,221.74378858966904,5.750646272763354,261.66319246945733,265.19387945344846,266.61137344049007,267.2838913013298,265.9171984652016,265.6700477256821,265.28655932287666,267.96432128283533,263.58626314253445,265.74681144521725,265.9171984652016,265.69581531716983,265.5913525392804,265.9171984652016,265.9171984652016,225.30571632000735,288.0257293103272,29.179006963039008
ptCorr_50to100_abseta_1p479to2p5,244.7687724530622,5.978668144532019,276.2606155654228,277.84115272032955,285.958706877838,284.39095029064623,281.9041573534871,281.83178237549674,281.48925834046236,285.5716612755153,279.4928254210275,282.1252080254501,281.9041573534871,282.4969110508848,281.25136330170983,281.9041573534871,281.9041573534871,238.42876869398435,309.4289234804716,31.595759189481406
