,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,ElectronRecoSFUp,ElectronRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p8,32349.454036714735,311.21296594409364,30797.327483422352,32007.224064227186,32690.61917980562,34581.60547319247,32349.454036714735,32737.06909248958,31959.059132489114,33734.230514467956,31016.835870128205,32343.640374174054,32349.454036714735,32305.650338675474,32361.3056146706,32349.454036714735,32351.272955390585,18033.700580265027,50009.85887330145,2319.007513468991
ptCorr_10to15_abseta_0p8to1p479,19396.732527754648,243.825470345031,18491.88940378902,19272.34150820752,19521.97773044066,20110.604440368148,19396.732527754648,19723.846075955487,19164.331409387156,20268.122539998054,18581.57263015637,19398.822298343992,19396.732527754648,19387.265870468244,19433.260630646942,19396.732527754648,19396.732527754648,10878.984773304113,29829.23396626399,1450.2081700491508
ptCorr_10to15_abseta_1p479to2p5,15454.635244298961,220.61386916331676,14122.250382324493,15388.225707335214,15521.36779149453,15684.416027511155,15454.635244298961,15772.417545855942,15218.261196090221,16189.063264882225,14728.343642656702,15452.683385969656,15454.635244298961,15404.309833885944,15481.073731856783,15454.635244298961,15456.258246434507,8337.868246361388,24835.769221169845,1021.857949982475
ptCorr_15to20_abseta_0p0to0p8,41022.528088000676,343.60498655186,39610.58764803824,40687.99947841166,41355.59012847221,43853.132119081216,41022.528088000676,41735.2279881595,40249.63787242928,42923.08730314825,39199.66711231596,41031.45541776803,41022.528088000676,40996.688545904595,41084.051493274346,41022.528088000676,41022.528088000676,21889.109777271377,63628.56128605477,2655.770826876006
ptCorr_15to20_abseta_0p8to1p479,27180.958219202337,278.8606856478701,26158.954261256433,26965.49127012459,27396.452504124598,28158.22894914852,27180.958219202337,27742.60549869236,26711.751362308067,28530.1650503528,25897.20003492695,27188.184589178276,27180.958219202337,27172.375926851397,27170.876546628115,27180.958219202337,27180.958219202337,13975.380477143288,44380.862744306454,1550.316183898477
ptCorr_15to20_abseta_1p479to2p5,26033.038289230244,277.2982253166771,24534.03973953052,25891.27278568704,26175.235264256837,26418.62727645248,26033.038289230244,26397.248970248304,25575.950498833783,27094.969482620134,24882.66056519533,26023.64310494221,26033.038289230244,25954.57304206837,26076.94984384362,26030.70070406753,26033.038289230244,14451.484790416109,41200.09888140963,1525.6606765804884
ptCorr_20to25_abseta_0p0to0p8,50608.731649487265,331.26757033809093,50445.9677843103,50296.81201011734,50918.718639018625,50779.28095118288,50608.731649487265,51785.5020093027,49330.988595390445,52932.32412487228,48180.81075520215,50613.64545850945,50608.731649487265,50558.461924201976,50654.639171570234,50608.731649487265,50609.95552877562,26372.647051123473,78337.89632818091,2882.5667657778604
ptCorr_20to25_abseta_0p8to1p479,31182.49995675832,266.0560506523029,31109.690354528724,30925.40312801019,31439.518824240597,31310.194534505747,31182.49995675832,31913.812589287918,30381.731570613047,32740.205835642148,29527.985215642744,31167.87818432299,31182.49995675832,31123.362769274296,31194.94674840419,31181.085684812024,31182.49995675832,15680.13935770252,53238.64420859041,1690.398640810888
ptCorr_20to25_abseta_1p479to2p5,31240.81571354655,276.42884776629,30871.723125553784,30846.667592952657,31637.638326078493,31409.949025136906,31240.81571354655,31705.68792815316,30761.69064451042,32619.692767143057,29920.917623737354,31248.87762713516,31240.81571354655,31192.133319090106,31301.57847704995,31240.81571354655,31240.81571354655,17340.949782699652,48623.32722593409,1535.5688974841653
ptCorr_25to35_abseta_0p0to0p8,166885.925068532,566.8637826660806,166733.14881255027,166239.5420307439,167527.99749045458,167326.28881071255,166885.925068532,170441.52878245886,163172.17074125507,174129.19935774856,159528.13774975887,166875.83224927742,166885.925068532,166659.53154976884,167125.74380219643,166887.089326623,166885.925068532,82434.66013026566,237371.10926409042,7254.1188796634215
ptCorr_25to35_abseta_0p8to1p479,77562.8403211566,404.7847392883338,77207.4241890024,76893.54316922797,78230.73582816555,77844.57205832285,77562.8403211566,78456.41320633232,76399.60138349641,80204.56450532237,74799.50724079984,77579.44527407059,77562.8403211566,77462.7369973815,77674.44842188836,77562.8403211566,77562.8403211566,46269.381152068585,111943.36607289861,3388.3220503769935
ptCorr_25to35_abseta_1p479to2p5,81301.46375280105,425.82957129910545,80762.05086530346,79775.82756223468,82839.61482129265,81729.42744631552,81301.46375280105,82219.39975835761,80242.92285506138,84125.65646453637,78376.3876783643,81307.6006676637,81301.46375280105,81075.88248708563,81559.20028803557,81301.46375280105,81302.67668471525,48479.78226191673,114665.32285104966,3417.7091942687885
