,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,ElectronRecoSFUp,ElectronRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p8,328.4813262514415,11.753496801999638,333.4323778702624,328.4695100879235,328.48749179032114,347.26670923618997,328.4813262514415,329.64561982146233,326.70765471918025,336.25527858664543,317.1033032965874,328.4813262514415,328.4813262514415,328.89352626780226,328.10676082188934,328.4813262514415,328.4813262514415,232.20356484836898,390.8868917115331,56.53866220332466
ptCorr_10to15_abseta_0p8to1p479,188.97370372427335,8.569136199088188,193.55196722760525,188.96637732321537,188.97807667502516,197.1725971123467,188.97370372427335,189.6752958935208,189.7154716623696,197.4686526362495,182.9762370649345,188.97370372427335,188.97370372427335,188.97370372427335,188.97370372427335,188.97370372427335,188.97370372427335,125.01014989028748,232.39674781243193,34.178071216083524
ptCorr_10to15_abseta_1p479to2p5,159.5990386265139,7.931759366633015,161.06234487194502,159.59255077103631,159.60206411402572,162.5206539316241,159.5990386265139,160.45600043937975,159.6257175703349,164.99154302304262,154.06896544413604,159.5990386265139,159.5990386265139,158.87939602039165,161.41374006693763,159.5990386265139,159.5990386265139,111.41208867447307,196.53569527518943,28.1982244822384
ptCorr_15to20_abseta_0p0to0p8,357.70977659803253,12.830125918210253,356.172221775421,357.6986536304381,357.7159431787571,378.1666933654689,357.70977659803253,358.1008606085034,356.91150615220033,369.11016290249296,347.5608557861957,357.70977659803253,357.70977659803253,356.3578271838973,357.6343587967117,357.70977659803253,357.70977659803253,245.80750317722408,435.01477557126185,51.75040200806595
ptCorr_15to20_abseta_0p8to1p479,242.6008019123469,9.968045113143948,243.86658178779632,242.59408621369747,242.6040287749122,253.07931338658884,242.6008019123469,244.56552571343445,239.80513393200084,251.9120130171509,232.8771126369143,242.6008019123469,242.6008019123469,241.8395281647597,242.60080191234695,242.6008019123469,242.6008019123469,152.73728873375333,299.7855750325423,39.1265448083101
ptCorr_15to20_abseta_1p479to2p5,243.4317794018139,9.923868343367753,244.30719101379864,243.42359136774408,243.43651596836872,247.81567634066698,243.4317794018139,242.6526297170068,243.0769187099968,250.0447603953494,238.0233800089158,243.4317794018139,243.4317794018139,242.59916630616524,243.40568311136204,243.4317794018139,243.4317794018139,161.0705609381917,295.5368598502361,31.22841465627849
ptCorr_20to25_abseta_0p0to0p8,305.27277067165306,11.394712409867394,301.5430592420335,305.26541786483233,305.2771443044054,306.7893673374209,305.27277067165306,306.78234841896426,305.89020991349526,317.56220546703287,298.8463731121698,305.27277067165306,305.27277067165306,305.05182346786256,305.70849453587783,305.27277067165306,305.27277067165306,216.92280369539088,374.57253378588496,28.576674052097584
ptCorr_20to25_abseta_0p8to1p479,238.81229210154734,9.588234694014076,243.5936654732398,238.80504988578195,238.81588399055158,239.83562743248672,238.81229210154734,238.48115108906387,239.16472112597148,247.53089279029348,229.39258312115587,238.81229210154737,238.81229210154734,239.18526892776805,239.16178183050877,238.81229210154734,238.81229210154734,165.36150776196496,301.37937022392765,28.439616263453644
ptCorr_20to25_abseta_1p479to2p5,263.9008993462717,10.208244907132235,267.7488847202078,263.89228134377106,263.9058932994187,264.9258251395734,263.9008993462717,264.9692035442247,264.63189207489756,270.6445358399046,256.08027098108164,263.9008993462717,263.9008993462717,265.12383610376946,263.90291449420897,263.9008993462717,263.9008993462717,186.9722220847926,318.3588696756782,32.12522496563407
ptCorr_25to35_abseta_0p0to0p8,595.3914005694395,15.95468662268285,590.9576261750501,595.3776799449513,595.397340956558,597.6558521995005,595.3914005694395,595.0163310797072,592.0777003864223,613.7823485696487,575.021486426602,596.0855177839408,595.3914005694395,595.6799527570462,595.6390365100096,595.3914005694395,595.3914005694395,417.24359967458173,715.5018210572074,77.4016892573316
ptCorr_25to35_abseta_0p8to1p479,438.3405555649053,12.995268606556609,446.4475247732107,438.33287066708186,438.34309785020264,439.823184509873,438.3405555649053,439.2510864115844,436.53345479126244,452.2816566664909,426.25281836313843,438.3405555649053,438.3405555649053,437.6514183875856,438.3342123573232,438.3405555649053,438.3405555649053,315.4654629932493,527.8484376289214,59.066819733536136
