,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,MuonRecoSFUp,MuonRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p9,23268.24325920341,547.9366042041379,23093.452611430635,23197.404466274744,23315.62332040816,23301.756354460686,23234.730163946137,23427.593399426394,23102.970670691127,24796.015161326104,21711.830579595324,23268.24325920341,23268.24325920341,23268.24325920341,23268.24325920341,23259.35447202601,23292.207931153494,10985.93460496057,60462.791866505955,1119.3336436833051
ptCorr_10to15_abseta_0p9to1p6,16204.618058528384,451.5793668527447,16158.693223019769,16156.708675296253,16245.671857940362,16225.872076008734,16183.364041048031,16353.223069027452,16162.487490459103,17346.13416747439,15322.44879537261,16204.618058528384,16204.618058528384,16204.618058528384,16204.618058528384,16149.67748665947,16230.689753113553,7821.594647362183,43159.91506487725,598.2594995902915
ptCorr_10to15_abseta_1p6to2p4,14086.247775148448,418.49512014693397,14071.849481037243,14023.812880679094,14146.214171477593,14108.461855135583,14064.03369516131,14324.093841457363,13998.272872860402,15133.349754839892,13282.199114143246,14086.247775148448,14086.247775148448,14086.247775148448,14086.247775148448,14061.83644631245,14086.67042579944,6438.611986200826,38286.88073306593,583.7329758331707
ptCorr_15to20_abseta_0p0to0p9,26123.45116157356,570.6970931412023,26110.637827718794,26036.15893943748,26208.531331303755,26161.076593690377,26085.825729456752,26356.98193803421,25811.59430271937,27624.636162835937,24505.95954484441,26123.45116157356,26123.45116157356,26123.45116157356,26123.45116157356,26068.93661302292,26111.295292052484,11729.982520960504,70200.03594374911,1004.7924463207073
ptCorr_15to20_abseta_0p9to1p6,17904.520182420387,475.17976027740934,17927.499264049813,17850.41042480193,17957.848943860598,17927.96951461763,17881.07085022315,18376.352735682587,17738.615414503533,19085.93963058589,17093.30967168336,17904.520182420387,17904.520182420387,17904.520182420387,17904.520182420387,17938.389902324736,17941.674062406782,8203.665052688608,48666.4564358636,682.913899530073
ptCorr_15to20_abseta_1p6to2p4,15782.794214285765,443.9748907861096,15668.24770469738,15711.02156041314,15854.120796195028,15807.619572726031,15757.9688558455,15982.6672315947,15609.610392486122,16985.45897960862,14689.43792798643,15782.794214285765,15782.794214285765,15782.794214285765,15782.794214285765,15717.507800053363,15807.78076497337,6923.639816405138,44447.13658951668,815.6933356160736
ptCorr_20to30_abseta_0p0to0p9,61269.16167890577,872.6207269583925,61279.456712983396,61011.60683771697,61524.66159149322,61357.40724299091,61180.91611482065,61919.87004505771,60532.43140954832,65524.15507092229,57168.897666890865,61269.16167890577,61269.16167890577,61269.16167890577,61269.16167890577,61167.240926455226,61349.156611088016,26386.80846939255,147758.375953931,2703.53363735437
ptCorr_20to30_abseta_0p9to1p6,41052.56993009683,717.8400344433167,40834.63690499259,40944.58643438041,41159.03520443268,41106.55712166996,40998.5827385237,41944.56090748851,40361.06807867602,44035.50907044423,38731.484703972594,41052.56993009683,41052.56993009683,41052.56993009683,41052.56993009683,41011.927304586556,41133.32789764419,17717.007167490632,102194.69077337738,1664.0502261229797
ptCorr_20to30_abseta_1p6to2p4,37080.30868565062,678.2455005071457,37037.11805098873,36906.78495116535,37252.52386980907,37138.71565283338,37021.90171846786,37517.67826865872,36671.294935472455,39290.966379150595,34855.05194273978,37080.30868565062,37080.30868565062,37080.30868565062,37080.30868565062,37068.484900802774,37170.71291557833,17162.995549941134,92983.94663948574,1798.4224541028966
ptCorr_30to50_abseta_0p0to0p9,129326.9083646681,1267.3824743393604,129544.04964693787,128818.34314590815,129831.7231625037,129513.17704645351,129140.6396828827,130501.657148232,128443.63527663081,135002.0786015489,123501.9573223787,129326.9083646681,129326.9083646681,129326.9083646681,129326.9083646681,129300.21328823177,129522.7784628158,66091.96564278111,235673.96973275032,5088.295279537537
ptCorr_30to50_abseta_0p9to1p6,93846.57621918194,1082.9705319340721,93365.08773358609,93620.91964395792,94068.86337968595,93970.67031585479,93722.48212250909,94393.63078164698,93135.67633464035,98205.93030035013,89668.83349292223,93846.57621918194,93846.57621918194,93846.57621918194,93846.57621918194,93745.36211781022,93959.76392676959,48385.00719470378,169739.19279854666,3601.7716243545633
