,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,ElectronRecoSFUp,ElectronRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p8,105.63240840944165,3.8921871438677984,103.65081959451246,105.12631903648551,106.12562304004935,113.83677535394592,105.63240840944165,105.18928401030824,105.2473948828088,107.8413151648821,101.83160453433364,105.63240840944165,105.63240840944165,105.72125703844061,105.63240840944165,105.63240840944165,105.63240840944165,70.44980968039329,135.5310279818085,15.772938091939045
ptCorr_10to15_abseta_0p8to1p479,64.52713713819932,2.9884826301723546,64.2356189018469,64.29730834016507,64.75209326502137,67.89729701493046,64.52713713819932,64.68728751182525,64.29230714306507,66.63952673055535,63.18655852598609,64.52713713819932,64.52713713819932,64.82137402288875,64.69336969234857,64.52713713819932,64.52713713819932,44.51977889062496,85.05376719121978,10.588682937020494
ptCorr_10to15_abseta_1p479to2p5,48.2417365971229,2.563248923982824,47.15671571143023,48.12539920377378,48.35386604624141,49.05330404101004,48.2417365971229,48.41240066526793,48.66435310575281,49.972848133937426,46.89383355700739,48.2417365971229,48.2417365971229,47.99170930746114,48.33142734465662,48.2417365971229,48.2417365971229,32.41623892018525,61.96462645669108,8.339025375473318
ptCorr_15to20_abseta_0p0to0p8,98.98709930108309,3.7286951026980417,98.72787417496983,98.58294163155972,99.3795364719767,106.67533151756619,98.98709930108309,98.9945081457504,98.45488526453957,101.34171212942636,95.42363869377095,98.98709930108309,98.98709930108309,98.82027578200059,99.28450476408383,98.98709930108309,98.98709930108309,67.64320142590456,127.31812807753623,11.755174593172333
ptCorr_15to20_abseta_0p8to1p479,72.57269416104035,3.1726975669792212,71.36191630022262,72.22675420797286,72.91299859485513,76.17573955726787,72.57269416104035,72.35686123945597,72.6853022222388,74.6834306616474,71.37245203527176,72.57269416104035,72.57269416104035,72.46289600057722,72.4064616068911,72.57269416104035,72.57269416104035,50.23344385757037,95.86963591968046,9.436508273466767
ptCorr_15to20_abseta_1p479to2p5,62.20141299486073,2.8955957938758576,61.70128142853659,61.93999390758607,62.456139821329785,63.23753097143108,62.20141299486073,62.11286300994808,62.000345070884926,63.38232421431714,60.42714549003391,62.20141299486073,62.20141299486073,62.03779869851637,62.1368266243871,62.20141299486073,62.20141299486073,43.13121214445482,77.87839558113981,8.027930229476274
ptCorr_20to25_abseta_0p0to0p8,95.89341034406881,3.700101952474829,94.5084638800831,95.55025331232592,96.22511049941623,96.14652333950625,95.89341034406881,96.1487169675444,95.78745389970666,97.72064361096517,93.81526428627322,95.89341034406881,95.89341034406881,95.72823699798347,95.81667413545274,95.89341034406881,95.89341034406881,68.7812461335824,117.18559480439342,10.445462365281271
ptCorr_20to25_abseta_0p8to1p479,68.64162462529565,3.1507682033206805,66.52166739428674,68.32783426419148,68.94809573773729,68.80538493031892,68.64162462529565,68.7939421107626,68.39856163548447,70.87261091138653,67.6410721883737,68.64162462529565,68.64162462529565,68.56821800315987,68.76533428138222,68.64162462529565,68.64162462529565,47.10474851173601,88.86809459416489,9.04564238672316
ptCorr_20to25_abseta_1p479to2p5,79.21136202218585,3.4048952545990736,75.24675012573051,78.69587234848211,79.66628364787002,79.47026219559689,79.21136202218585,78.8821079738198,78.69850756860534,80.55350953122132,77.54211796118639,79.21136202218585,79.21136202218585,79.03987146704986,79.2958709126164,79.21136202218585,79.21136202218585,53.92303359744581,99.0820486630293,8.158198912516916
ptCorr_25to35_abseta_0p0to0p8,186.8078284745623,5.156049778580812,182.41833488499634,186.30768091416525,187.28645463398783,187.300943713172,186.8078284745623,186.98937478413143,186.92871100443233,190.81931194165438,183.2014540174247,186.8078284745623,186.8078284745623,187.0222993631467,187.22292662174885,186.8078284745623,186.8078284745623,127.88478340669552,226.82724153769792,20.34738996717141
ptCorr_25to35_abseta_0p8to1p479,131.1491516392993,4.303254911310036,130.189038199942,130.54018639385387,131.7456726379533,131.46279692200014,131.1491516392993,131.5191362064951,131.2321941308483,133.8738541428571,128.58847131854873,131.14915163929928,131.1491516392993,131.060642552479,131.32826994663228,131.1491516392993,131.1491516392993,94.37783445775086,161.76775341728094,16.064284387663953
ptCorr_25to35_abseta_1p479to2p5,154.50456473579868,4.717183648201421,148.93943109225103,152.88902722939585,156.0932627489137,155.01014684992205,154.50456473579868,155.02850071124527,154.32588177897176,157.2159597112113,150.93506848771614,154.43002526774785,154.50456473579868,154.64313859177756,155.12127460322338,154.50456473579868,154.50456473579868,105.50408818724496,190.54739593611896,14.958342314093587
ptCorr_35to50_abseta_0p0to0p8,214.74382505862886,5.631369845695401,213.6602208949693,214.25685595231778,215.20892079449146,215.37135297955734,214.74382505862886,215.10945520317185,214.8675350055929,220.33914903808017,210.77185905297034,214.74382505862883,214.74382505862886,214.64767259159453,214.42120076210344,214.74382505862886,214.74382505862886,160.5434164089419,253.13807177241358,24.78497412075884
ptCorr_35to50_abseta_0p8to1p479,178.84016184120867,5.195588117602235,173.8917886536162,178.20171671277657,179.46374084127822,179.2724349968106,178.84016184120867,178.98706648506925,178.97362499699614,181.09697115242946,174.73213324635094,178.84016184120867,178.84016184120867,178.59035697580214,179.24948090508067,178.84016184120867,178.84016184120867,131.4168054025843,206.83232234487548,17.601483704751207
ptCorr_35to50_abseta_1p479to2p5,200.40891581216331,5.473304947022482,194.52083283388058,198.1604830980267,202.6507150946228,201.1116710658761,200.40891581216331,200.0602370936376,200.7970838832739,203.83133184465564,195.93223202265506,200.1878651402003,200.40891581216331,199.49249777832077,200.5664776668616,200.40891581216331,200.40891581216331,148.77420152281536,238.30812729946197,18.411584585155335
ptCorr_50to100_abseta_0p0to0p8,302.84477305661375,6.716197538515645,360.5625710851913,362.9598225541753,364.5725683830746,365.88656684475154,363.7815450987563,364.1121371493436,363.585902919721,367.16950135009574,361.93814238118387,363.7815450987563,363.7815450987563,363.9326902324815,363.6083521100615,363.7815450987563,363.7815450987563,312.59620607527876,396.2807695520289,43.46569684652317
ptCorr_50to100_abseta_0p8to1p479,226.86738992669447,5.8145650857246,267.6514324041584,270.85979504221206,272.3172723673945,272.9997419630368,271.60347197651623,271.3563212369967,270.97283283419125,273.80995980053694,269.27253665384904,271.4330849565319,271.60347197651623,271.38208882848454,271.277626050595,271.60347197651623,271.60347197651623,229.60979106589667,294.1442271662119,29.430866011684543
