,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,MuonRecoSFUp,MuonRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p9,99.52223681327047,3.914323726910005,98.93131643151068,99.1354747533845,99.79126031968292,99.56066727794399,99.48380634859697,99.41213743072217,99.5627537964755,100.26444327844222,98.53969344678785,99.52223681327047,99.52223681327047,99.52223681327047,99.52223681327047,99.29330690931808,99.556823699091,87.65641360495741,107.89823344611021,63.85385749817419
ptCorr_10to15_abseta_0p9to1p6,73.29981152823737,3.325519375200655,73.27056109169942,73.00378840821003,73.54941416458789,73.32170280435258,73.27792025212214,73.3593122428353,73.11212572985318,73.56337113018137,72.88245116326148,73.29981152823737,73.29981152823737,73.29981152823737,73.29981152823737,73.25798981564618,73.29981152823737,62.03183452971452,78.20927200750299,48.8808898961266
ptCorr_10to15_abseta_1p6to2p4,54.800853456085534,2.8014248111979767,57.316058658536534,54.492615198336686,55.100196175542415,54.84259030329535,54.75911660887572,55.00371875314563,54.800853456085534,55.17085381456123,54.374173599199814,54.800853456085534,54.800853456085534,54.800853456085534,54.800853456085534,54.800853456085534,54.80085345608554,48.18878641782282,61.33189457124264,36.10035427036274
ptCorr_15to20_abseta_0p0to0p9,109.47875416626272,4.031327623994388,112.50259632032358,109.02082202562497,109.90767704223177,109.52102933540286,109.43647899712258,109.83231520576064,109.39665748090499,110.43962869875593,108.68583398909769,109.47875416626272,109.47875416626272,109.47875416626272,109.47875416626272,109.61183973590782,109.4293492374049,93.84422301953559,119.94971394308516,67.64767895751613
ptCorr_15to20_abseta_0p9to1p6,69.89437676366639,3.2321736694426586,71.10154162938002,69.61511777830925,70.16172182893183,69.91556593796606,69.87318758936674,69.66549385419255,69.72248860647223,70.28086234793119,69.40549818715563,69.89437676366639,69.89437676366639,69.89437676366639,69.89437676366639,69.93619847625757,70.05962433844594,59.301532601360506,76.99826362739465,44.96212156700935
ptCorr_15to20_abseta_1p6to2p4,57.366431067934386,2.9506868135865822,57.019977659508825,56.98189315033452,57.74174185282986,57.40683977024904,57.32602236561972,57.43546171218169,57.46746212612317,57.79937732821552,56.763656846124235,57.366431067934386,57.366431067934386,57.366431067934386,57.366431067934386,56.87384466097072,57.55006285575422,47.937377027290765,61.65854590254146,36.90255954906299
ptCorr_20to30_abseta_0p0to0p9,229.7483435826273,5.8775231928964145,232.17336604300252,228.60054950784928,230.85645808047656,229.8370607968356,229.65962636841903,230.16443368469953,229.54014321060885,231.09178856940946,227.0771265122247,229.7483435826273,229.7483435826273,229.7483435826273,229.7483435826273,229.748783774306,230.5419772183655,194.98731600289716,247.73676594050792,150.76050641334828
ptCorr_20to30_abseta_0p9to1p6,144.79238166867924,4.619170967289056,148.29759595034045,144.2141111793261,145.3408983095626,144.836309682399,144.74845365495946,144.59037374907092,144.61660791737964,145.73829597227083,144.02884116279844,144.79238166867924,144.79238166867924,144.79238166867924,144.79238166867924,144.49954382672757,144.88629732946725,126.01649863107987,155.77625020842734,91.6942112049791
ptCorr_20to30_abseta_1p6to2p4,105.11412705734897,3.933178321169586,106.33108562290589,104.2877738282757,105.92455151300322,105.19665138050799,105.03160273418993,104.93416369387342,105.25646307379728,105.7601113880571,104.17198926664076,105.11412705734897,105.11412705734897,105.11412705734897,105.11412705734897,105.19282009570188,105.15326125940551,90.07219807357288,112.63573088274399,63.61830522781882
ptCorr_30to50_abseta_0p0to0p9,455.713205967824,8.242837825973018,462.3779196989851,453.5450891905295,457.8037593733417,455.8891794067657,455.53723252888244,455.3834494667532,455.89677998683874,457.89718154166763,452.4683482840002,455.713205967824,455.713205967824,455.713205967824,455.713205967824,455.44398583301955,456.68845666966666,402.51472428732,486.7693938786424,289.19515566764056
ptCorr_30to50_abseta_0p9to1p6,274.79771276546643,6.44859948700224,275.3337376631196,273.7156288724978,275.8355667048436,274.88161877543195,274.7138067555009,275.1022290907958,274.59428586089075,276.9097547138791,272.9353686933948,274.79771276546643,274.79771276546643,274.79771276546643,274.79771276546643,274.8401515201775,275.06567683046256,240.10871080920515,291.1780294734764,174.01065522565852
