,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,ElectronRecoSFUp,ElectronRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p8,154.7293709074775,7.068144634531634,156.50050276211243,154.7239791022847,154.73284706245218,163.57812503501418,154.7293709074775,153.89946412411834,152.62059537025132,159.11640938762494,148.0562964637455,154.7293709074775,154.7293709074775,155.0247246746675,155.01033492655637,154.7293709074775,154.7293709074775,108.805307073009,183.5987566469163,35.391987893397605
ptCorr_10to15_abseta_0p8to1p479,95.02434067282485,5.306055989959216,96.7381335987256,95.02154946704745,95.02556851430278,99.26812947953763,95.02434067282485,96.1698584167901,94.74231766476106,96.95205699956179,92.29338403162433,95.02434067282485,95.02434067282485,95.02434067282485,95.28722834420991,95.02434067282485,95.02434067282485,65.41171563699703,110.52539149157897,21.22569567171246
ptCorr_10to15_abseta_1p479to2p5,62.68001657633947,4.185364971218847,63.873919515257164,62.67817064927506,62.680934229674406,63.85347609475748,62.68001657633947,62.945975603569735,62.40602312972659,65.90595580922414,61.066511151138016,62.68001657633947,62.68001657633947,61.883538014330945,62.415278158824634,62.68001657633947,62.68001657633947,45.90056201503223,80.81265560448824,12.897895424332845
ptCorr_15to20_abseta_0p0to0p8,147.20925686866866,7.163583224994403,146.7246823076614,147.20314815287648,147.21261112945288,155.62794629840306,147.20925686866866,147.01366041643297,146.9179606715589,150.67453505416722,144.02917924284685,147.20925686866866,147.20925686866866,147.22100600730778,147.4978669491702,147.20925686866866,147.20925686866866,108.30533231534164,180.2826842011471,23.936972600028774
ptCorr_15to20_abseta_0p8to1p479,93.87924409459082,5.290510397261745,94.67725017642087,93.87697824510185,93.88027274541619,97.87480366575276,93.87924409459082,94.34917915562082,94.11167442577448,97.05247419934172,90.45219065873039,93.87924409459082,93.87924409459082,93.87924409459082,93.61635642320576,93.87924409459082,93.87924409459082,64.09108010953346,109.81465491185352,17.37403946781548
ptCorr_15to20_abseta_1p479to2p5,77.29348753688679,4.70861161381549,79.11277652838919,77.28936778167561,77.2960115440222,78.65725298422316,77.29348753688679,77.56157204995739,77.55583357021334,79.0424758014064,74.83308393071262,77.29348753688679,77.29348753688679,77.82514863749549,77.82566319304982,77.29348753688679,77.29348753688679,55.57684701148405,95.86285787659253,14.35904519031302
ptCorr_20to25_abseta_0p0to0p8,118.47498582634627,7.070986732437731,114.30830209739611,118.47032311569305,118.47704859554227,118.92565286809653,118.47498582634627,118.73350111335368,118.93731368699856,121.0932900283041,116.33395790161774,118.47498582634627,118.47498582634627,118.47498582634627,118.73712238898192,118.47498582634627,118.47498582634627,87.66285507035867,136.24116066465166,18.35279070462161
ptCorr_20to25_abseta_0p8to1p479,93.52925239231107,5.419737003453348,92.3899409374813,93.52769438389528,93.52983490045415,93.84537748462674,93.52925239231107,93.15810188989346,93.26752942161238,94.6338852496151,90.58486544871718,93.52925239231107,93.52925239231107,93.22462294194685,93.52925239231107,93.52925239231107,93.52925239231107,71.1564882164218,107.60552634040926,10.215669207889682
ptCorr_20to25_abseta_1p479to2p5,80.91287915652161,4.783106114822658,82.70603898267137,80.90973589509532,80.91461250674466,81.1988054420053,80.91287915652161,80.6678517555222,80.64683179321548,83.2600665915172,77.69053855231103,80.91287915652161,80.91287915652161,80.91287915652161,80.91914987933791,80.91287915652161,80.91287915652161,54.496403188589156,97.90113515204783,13.37194348653215
ptCorr_25to35_abseta_0p0to0p8,220.60516147788638,8.556529070579368,221.57535830198026,220.60020276147955,220.60661240007693,221.44365117376785,220.60516147788638,220.5379817884621,219.28061455117398,224.76070683082315,213.0766585193415,220.60516147788638,220.60516147788638,220.07825911853172,220.35431917210548,220.60516147788638,220.60516147788638,170.4475956186118,253.75959469346012,32.52912027194916
