,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,MuonRecoSFUp,MuonRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p9,203.54005987653662,4.677449675746382,206.83212368854328,203.45120988702183,203.57365076198175,203.6190244600574,203.4610952930158,203.64552801491317,203.54349659297793,206.6487737756053,201.52605703475967,203.54005987653662,203.54005987653662,203.54005987653662,203.54005987653662,203.3429100732621,203.63674035024195,174.26263707616948,223.3539703272145,129.40804508566237
ptCorr_10to15_abseta_0p9to1p6,152.3239716711551,4.031851441358913,155.02861781031095,152.25344754495472,152.37969852710773,152.43063437908103,152.21730896322924,152.43360109205986,152.3117648238026,154.09334262265406,150.3577800156973,152.3239716711551,152.3239716711551,152.3239716711551,152.3239716711551,152.2310560386709,152.7332990511875,131.95867449024325,168.04129559713124,98.90797940372047
ptCorr_10to15_abseta_1p6to2p4,138.58928060803785,4.093772807868925,138.5407908781236,138.4806037993573,138.6877123527001,138.7452300663344,138.43333114974138,138.53891281895133,138.8356852027234,139.69435576233272,136.55024493714456,138.58928060803785,138.58928060803785,138.58928060803785,138.58928060803785,138.0140737461694,138.79063863682057,120.4360986593897,149.28676061383902,91.22473880181407
ptCorr_15to20_abseta_0p0to0p9,259.03653227037404,5.638978575213853,258.8480792620441,258.90523254275973,259.1539518591714,259.1370270422623,258.9360374984858,258.4099582513372,259.74296864877874,262.19071734762696,256.8212742454739,259.03653227037404,259.03653227037404,259.03653227037404,259.03653227037404,258.73119042248624,259.2317805487071,224.7316776699543,282.65064696947593,175.51457072997843
ptCorr_15to20_abseta_0p9to1p6,174.80785116971254,4.340462431277057,177.9692682664688,174.71228774130665,174.89575428341973,174.9305274928524,174.6851748465727,174.7423620496476,175.04680516966604,177.93598004909276,172.60031781250126,174.80785116971254,174.80785116971254,174.80785116971254,174.80785116971254,174.85405242272134,174.69269922753261,153.0803299618484,192.4309610842015,114.0426283282837
ptCorr_15to20_abseta_1p6to2p4,133.2899629581491,3.948340742987842,134.22645314763298,133.16929962210756,133.40499176705356,133.43956152780467,133.1403643884936,133.2899629581491,133.18463223843258,135.54999634991833,131.97467727914423,133.2899629581491,133.2899629581491,133.2899629581491,133.2899629581491,133.36502748353968,133.58432598865446,115.09144312865685,146.46126576568463,89.1837661278596
ptCorr_20to30_abseta_0p0to0p9,625.2178007059407,8.555437701644346,624.7576589366346,624.6974987099029,625.7124913321721,625.4603576909021,624.9752437209793,625.8058876163283,625.3844465921871,631.6328363350062,618.5583782042245,625.2178007059407,625.2178007059407,625.2178007059407,625.2178007059407,624.0614538605698,625.4455764275779,542.0126859917185,678.1069590805645,408.35861525726443
ptCorr_20to30_abseta_0p9to1p6,390.45694826902917,6.558645545224008,394.40593347474356,390.20154531253604,390.6974610795743,390.7297594082701,390.18413712978804,390.14216049334834,390.44247554268037,394.29704509836097,385.7459461455896,390.45694826902917,390.45694826902917,390.45694826902917,390.45694826902917,389.8430127781093,390.8500626188808,338.46320188968264,423.48829730552654,259.82881640146707
ptCorr_20to30_abseta_1p6to2p4,268.72590200050513,5.470978993760332,269.86083019888224,268.43673165542486,269.00404021817235,269.02541156588643,268.4263924351238,267.9962550558124,268.25371393464786,272.593749159648,264.2549926746836,268.72590200050513,268.72590200050513,268.72590200050513,268.72590200050513,268.9221372551298,268.94645806291487,233.73984896455343,292.20163652279143,172.78071476970703
ptCorr_30to50_abseta_0p0to0p9,1318.6145047179575,12.334383877948651,1322.8176815035606,1317.452979751544,1319.7217144583872,1319.1260691011692,1318.1029403347463,1318.985303307123,1318.6792844978097,1330.372206578009,1305.8613962674376,1318.6145047179575,1318.6145047179575,1318.6145047179575,1318.6145047179575,1318.3226985508838,1321.773963501411,1159.5517286484046,1399.853947472879,840.4454694776267
ptCorr_30to50_abseta_0p9to1p6,770.0326610154916,9.40453782667795,771.5105542352975,769.516772715075,770.5182829690433,770.5663407818408,769.4989812491427,769.5964507548199,769.5084488963752,775.3301271052245,761.8740517417108,770.0326610154916,770.0326610154916,770.0326610154916,770.0326610154916,768.9242165320663,770.5793975584124,679.3391173590534,816.3101480237254,492.17052125284437
ptCorr_30to50_abseta_1p6to2p4,475.16668700544056,7.351941755565069,476.57433941278794,474.64846741318513,475.66615249916697,475.68343176140644,474.6499422494746,474.3625171763572,474.66663640350697,478.09221480297145,470.1605487512586,475.16668700544056,475.16668700544056,475.16668700544056,475.16668700544056,474.2533964855672,475.669445724531,419.2661355144221,508.2414573622061,298.45782284645674
ptCorr_50to100_abseta_0p0to0p9,1878.2765479609338,14.551682833722568,2533.8870010120163,2518.3725325034334,2522.6970857504543,2521.561952306326,2519.606200972052,2520.938931737489,2520.4835688568687,2529.1573235269093,2511.038402392512,2520.584076639187,2520.584076639187,2520.4837862105196,2520.584076639187,2519.684272980538,2518.209328091404,2378.0112885014005,2578.2826153825895,1563.9194300084393
ptCorr_50to100_abseta_0p9to1p6,1063.7099215992114,11.07673016970919,1395.309537462937,1384.5773563846208,1386.3446967401912,1386.4410831240016,1384.5336233923515,1385.1848017105156,1385.1517241791255,1391.6419829725685,1378.9947998182372,1385.487353258177,1385.487353258177,1385.487353258177,1385.487353258177,1386.3005669238537,1385.0506073978731,1302.9431352881409,1422.6810943722714,832.1350659651986
ptCorr_50to100_abseta_1p6to2p4,570.5881220644518,8.039553115301597,722.3038956685863,717.1487417810401,718.7072081183536,718.69800318637,717.1842156477969,718.7105259855748,717.7656446675238,721.9646871111955,713.5068093206468,717.941109417083,717.941109417083,717.941109417083,717.941109417083,718.159859300076,717.9431347917762,666.7949445947021,746.3465592481288,410.9238327511008
