,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,MuonRecoSFUp,MuonRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p9,959.429614760275,7.18299143207286,967.91075114603,959.0243470088255,959.5702836103758,959.8018312172861,959.057398303264,959.2152697392917,958.7833195078797,972.262272623859,943.3944703512793,959.429614760275,959.429614760275,959.429614760275,959.4751938034883,958.3405383266265,960.4184291521696,809.4857307353407,1076.6168804881331,598.474735506663
ptCorr_10to15_abseta_0p9to1p6,673.2104011495691,6.045500368397587,678.4524477054947,672.9125439870216,673.4445983313942,673.6839073176934,672.7368949814448,673.3729605657076,673.109823173891,682.7987007880954,664.4445717088666,673.2104011495691,673.2104011495691,673.2104011495691,673.2104011495691,672.2527298651609,674.2472442905624,571.5941598104798,754.4414760960711,431.18231925483315
ptCorr_10to15_abseta_1p6to2p4,570.451980408039,5.552079123497295,574.8985529777034,570.0253170638698,570.8362730519076,571.0999522511615,569.8040085649166,570.8056975649515,571.2565647575655,578.4888181393346,563.2155481661937,570.451980408039,570.451980408039,570.451980408039,570.451980408039,569.2057967661,571.557624721717,482.87192069613064,640.8065386998974,377.4387007800734
ptCorr_15to20_abseta_0p0to0p9,892.1869100520946,6.910689481730483,901.579132219859,891.7466726837754,892.5833060322427,892.5330392996625,891.840780804527,891.7150312622277,892.7503652017691,907.985875302336,877.4999235490565,892.1869100520946,892.1869100520946,892.1869100520946,892.1869100520946,892.0394605706304,892.7046152144253,747.9375839037035,1015.1391622103711,606.7446684160514
ptCorr_15to20_abseta_0p9to1p6,596.6989840084102,5.740595398711646,601.0081021043947,596.384309675443,596.9919462624289,597.1182175672513,596.2797504495691,595.5177865210308,596.8201975853376,608.0228112977306,586.2556798500633,596.6989840084102,596.6989840084102,596.6989840084102,596.6989840084102,596.0316698604859,596.996549137587,497.18081208175863,683.4118993274561,417.9386164485277
ptCorr_15to20_abseta_1p6to2p4,473.2853811336902,5.02919261157108,477.8961124834665,472.856897754732,473.6959190055812,473.8171273198692,472.7536349475112,473.8656431954066,474.5345037468349,481.5053876423819,465.88372913328794,473.2853811336902,473.2853811336902,473.2853811336902,473.2853811336902,473.3253378246459,473.5416155270422,394.1179886221205,540.6456167302623,330.69734513899084
ptCorr_20to30_abseta_0p0to0p9,1911.0622488755362,10.310948326030715,1919.0988995054258,1909.5041519734075,1912.5491601737824,1911.8036569042865,1910.3208408467863,1910.0309471073278,1912.2271428728604,1940.3778297432013,1878.6353841060568,1911.0622488755362,1911.0622488755362,1911.0622488755362,1911.0622488755362,1908.8024742886776,1912.068652181466,1586.6841423955427,2174.961873056447,1367.5351864663428
ptCorr_20to30_abseta_0p9to1p6,1230.342974134462,8.242826586489691,1235.8697417726432,1229.5534017062112,1231.0883676439676,1231.2003454938142,1229.4856027751102,1229.1059828387274,1230.3475486152245,1251.1527453830206,1207.9186549062506,1230.342974134462,1230.342974134462,1230.342974134462,1230.342974134462,1229.4967372396475,1231.8976504712693,1012.9446833534049,1409.2621106285064,874.474076718514
ptCorr_20to30_abseta_1p6to2p4,880.9165375540219,6.894891912294003,887.582849401771,879.9800189026338,881.8200467135696,881.8944734135513,879.9386016944927,879.6145990192367,881.5053088468105,895.5783818180665,864.7012610381029,880.9165375540219,880.9165375540219,880.9165375540219,880.9165375540219,879.9391218191911,882.0782355467375,722.8083745923925,1018.6190622522084,636.8623860001283
ptCorr_30to50_abseta_0p0to0p9,3660.255970078674,14.281629962752856,3674.8746927686257,3657.0825293141033,3663.2969589311892,3661.675988272793,3658.835951884555,3659.0977410707433,3663.0474842590693,3714.995187138743,3603.3595697878663,3660.255970078674,3660.255970078674,3660.255970078674,3660.3465552091047,3657.6713809881453,3662.763521501613,3061.510896377342,4100.625046364508,2675.663860121513
