,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,MuonRecoSFUp,MuonRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p9,687.7906805365229,19.005845622409435,682.2999722706875,687.5453608068233,687.8628410677918,688.0575130444382,687.5238480286079,691.0635000288718,686.4746375405273,718.3193330485692,653.6090982616755,687.7906805365229,687.7906805365229,687.7906805365229,687.7906805365229,686.0532253770181,689.4855511984001,371.06879780009837,1004.8237947560382,49.98090310796965
ptCorr_10to15_abseta_0p9to1p6,487.3040316657138,15.584618384773744,488.3801840796789,487.1267369918846,487.44906860572905,487.6412197058105,486.9668436256169,490.2532798421752,486.8266749390744,507.82054226319855,461.04176141012897,487.3040316657138,487.3040316657138,487.3040316657138,487.3040316657138,486.45292838382625,489.03072084163676,284.4277933422443,730.3237816521246,43.62617100188638
ptCorr_10to15_abseta_1p6to2p4,382.49582355499757,13.683087473343882,382.0535793158731,382.23227307377306,382.74347770310595,382.9290879715173,382.0625591384779,382.842959437231,378.9880694605397,404.4003583551747,364.90374585419084,382.49582355499757,382.49582355499757,382.49582355499757,382.49582355499757,382.49582355499757,384.20161450532845,217.90143400827503,587.0627291593962,23.118619606379294
ptCorr_15to20_abseta_0p0to0p9,680.7983403602774,18.16620074869134,683.4230524916276,680.5085453117276,681.0700860314029,681.0624601480027,680.534220572552,684.735538574149,679.7809250705063,719.5070753282345,655.5757138323739,680.7983403602774,680.7983403602774,680.7983403602774,680.7983403602774,682.5456759511453,679.5304928984815,373.22477493422764,1025.5945036418852,50.97362222265862
ptCorr_15to20_abseta_0p9to1p6,474.7796491698131,14.916472792580551,483.61370129616023,474.5586848025706,474.99479072864193,475.1102901298805,474.44900820974556,478.2978122359766,476.67464612951335,504.79137586009784,451.72493471986354,474.7796491698131,474.7796491698131,474.7796491698131,474.7796491698131,473.48912724615707,475.000753492466,258.8849294820799,734.793804597946,24.03371424146095
ptCorr_15to20_abseta_1p6to2p4,437.12028958056294,14.944416022308122,438.427588253797,436.74990749244387,437.4852585586526,437.6094738158506,436.6311053452752,439.3398607903186,438.4575231001216,457.23918263957205,418.9062666302513,437.12028958056294,437.12028958056294,437.12028958056294,437.12028958056294,436.63597253435876,436.280300215234,243.871784032407,642.531718451819,28.886047200927212
ptCorr_20to30_abseta_0p0to0p9,1488.8105763910112,27.275933253070036,1486.4380062279417,1487.7026857446772,1489.9050839282131,1489.3881693581027,1488.2329834239194,1493.2289391247245,1481.4498607642367,1555.3522826266276,1414.9266162883985,1488.8105763910112,1488.8105763910112,1488.8105763910112,1488.8105763910112,1488.373855536737,1492.9837989199345,854.669256803583,2148.119853369598,104.67776401471832
ptCorr_20to30_abseta_0p9to1p6,1075.6753546976254,23.248910780437388,1078.83306258387,1075.0258299479078,1076.311106310303,1076.433558127433,1074.917151267818,1081.5852001881904,1068.4763794585074,1131.1337381183941,1025.4197670380347,1075.6753546976254,1075.6753546976254,1075.6753546976254,1075.6753546976254,1073.9515237389833,1075.4820201605887,636.9049860884302,1536.6162131496403,62.918144401617816
ptCorr_20to30_abseta_1p6to2p4,888.7415486716936,20.665992985434386,893.074498623395,887.8620938938303,889.6124324657403,889.7453235840019,887.7377737593857,892.6933199218893,882.8089730083052,931.1899247968215,845.5482072523986,888.7415486716936,888.7415486716936,888.7415486716936,888.7415486716936,887.9498875891256,889.2188098673772,529.9066432948608,1307.8030018370307,65.35288454124614
ptCorr_30to50_abseta_0p0to0p9,2907.335829839047,37.90575212998953,2914.158616189865,2904.999436001803,2909.6346745676838,2908.463748161845,2906.2079115162473,2915.0556947049063,2903.317540525641,3004.94760304088,2792.30539969604,2907.335829839047,2907.335829839047,2907.335829839047,2907.335829839047,2901.9413361014635,2908.7135179961188,1927.76417658069,3781.920834465721,161.29785983069036
