,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,ElectronRecoSFUp,ElectronRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p8,12626325.675818825,118509.57616060656,12470303.172042284,12612193.13594275,12639530.089490961,13607000.173021466,12626325.675818825,12700491.790115707,12549054.647604574,13490631.92541869,11833700.412914429,12627634.038594685,12626325.675818825,12623278.162395898,12629625.858004658,12626325.675818825,12626325.675818825,5385364.501703216,28724929.929553587,2635486.4917491833
ptCorr_10to15_abseta_0p8to1p579,7419759.7006619815,90213.7639930402,7302475.076787406,7411458.978406104,7427555.5555539215,7798732.770727165,7419759.7006619815,7465201.722989698,7385631.853499258,7884670.296181429,6955231.099590061,7418556.754058057,7419759.7006619815,7421076.601785722,7419702.024732413,7419759.7006619815,7419759.7006619815,3122825.7625296195,16853180.309104443,1496856.7251086442
ptCorr_10to15_abseta_1p579to2p5,5434060.415154012,76374.06362652859,5253006.542860817,5427530.429988367,5440219.046217067,5524077.298279626,5434060.415154012,5452758.048206499,5390692.001408642,5808319.136230611,5103109.266003314,5434437.481695782,5434060.415154012,5425154.40288415,5446027.55105319,5434060.415154012,5434060.415154012,2404372.863902192,12052932.668624261,950940.5595096379
ptCorr_15to20_abseta_0p0to0p8,6062802.857806953,82944.51471184692,5986585.548495855,6056771.24757059,6068453.226617185,6533694.889018006,6062802.857806953,6100670.133613542,6014473.62138306,6478799.289598787,5660177.291509844,6065312.449305005,6062802.857806953,6067278.955932213,6056730.070197476,6062802.857806953,6062802.857806953,2526831.345045104,13436672.582966216,1075993.9394244165
ptCorr_15to20_abseta_0p8to1p579,4220414.2658689525,68273.509222109,4184091.155209384,4216352.13965911,4224233.8798739165,4426208.011873398,4220414.2658689525,4258087.822300546,4200961.38252994,4493800.137304618,3965595.3082639887,4221703.129539868,4220414.2658689525,4218945.836777344,4218095.707571983,4220414.2658689525,4220414.2658689525,1843949.1193253084,9364832.993577162,712595.493948639
ptCorr_15to20_abseta_1p579to2p5,3775359.374183636,63872.5492038339,3702296.7029195675,3769278.620612358,3781211.04942757,3837680.4870707807,3775359.374183636,3802799.3872940145,3765553.1467656223,4010672.491678912,3556177.6329162107,3773856.274024992,3775359.374183636,3782383.600892602,3770710.5752429827,3775359.374183636,3775359.374183636,1682075.0751478618,8049077.921383926,593499.8875229121
ptCorr_20to25_abseta_0p0to0p8,2899914.7666657427,58410.2803621098,2858695.376925516,2897297.9843600374,2902371.8521164376,2974691.407443878,2899914.7666657427,2898785.670497789,2889119.880144333,3109354.623634027,2720004.6249213354,2896855.183631872,2899914.7666657427,2902783.036968127,2894744.104659093,2899914.7666657427,2899914.7666657427,1259060.5723242098,5934680.325806158,453492.8814358413
ptCorr_20to25_abseta_0p8to1p579,2181236.242055522,50692.43690622767,2130594.0975148464,2179188.3562016846,2183127.4021882876,2214600.5943498104,2181236.242055522,2182271.7051568762,2176003.4451573077,2305510.025945475,2055610.4826532137,2182390.320570068,2181236.242055522,2185228.342033093,2182564.7072049296,2181236.242055522,2181236.242055522,932474.064853887,4373292.366919636,352779.7801372334
ptCorr_20to25_abseta_1p579to2p5,2322633.073180628,52588.517469765415,2228379.8280480425,2315720.680245189,2329021.0878932523,2336027.82847026,2322633.073180628,2336154.754771721,2309134.283418863,2433146.1192313237,2196041.3756134594,2322626.890620123,2322633.073180628,2319619.632283875,2316290.163780596,2322633.073180628,2322633.073180628,1068157.4760104003,4250792.025926214,334249.25872924365
ptCorr_25to35_abseta_0p0to0p8,2552906.0355549846,54611.4555602685,2482582.85572118,2550468.8628255916,2555190.4638867066,2560531.064403338,2552906.0355549846,2554599.038290542,2547531.5963180396,2662341.070808732,2443888.892915459,2553376.202332667,2552906.0355549846,2558201.9243149925,2550369.678743715,2552906.0355549846,2552906.0355549846,1224091.3047703563,4353780.445226514,387738.8356366821
ptCorr_25to35_abseta_0p8to1p579,2067922.084050481,49228.78914772196,2003285.1528422479,2065965.5652539695,2069737.6333150512,2073120.7597861304,2067922.084050481,2075138.8073085616,2067451.5215210344,2162014.252949179,1970010.1594265674,2066813.9368435247,2067922.084050481,2069872.2837187643,2064289.6411026502,2067922.084050481,2067922.084050481,1085744.0723112456,3348975.7531679412,311120.6819180676
