,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,ElectronRecoSFUp,ElectronRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p8,261.9420498403016,3.971685892501201,260.1017590988067,261.09334600442793,262.74628695723374,282.28683537956016,261.9420498403016,261.8500337707865,262.04571742208776,264.3681047342882,259.99319605945,262.00180285673486,261.9420498403016,261.6996075354819,262.3526012001492,261.9420498403016,261.9420498403016,222.82516615722886,290.94829179076396,162.57612810562904
ptCorr_10to15_abseta_0p8to1p579,165.16668779547163,3.1271507943906816,164.4181712907743,164.5878472551515,165.7165947822071,173.4853663302639,165.16668779547163,165.21823875223862,164.92391080796887,166.73758826627773,163.39528490031728,165.16668779547163,165.16668779547163,164.86898584199528,165.04713605189886,165.16668779547163,165.16668779547163,139.4601417880873,181.62984169486538,98.59319458855607
ptCorr_10to15_abseta_1p579to2p5,135.81111850722428,2.8111079971931683,133.31493160375953,135.3443667459807,136.2553212476965,138.08266169021957,135.81111850722428,135.9384790055177,136.05553879845294,137.23211652206828,134.87907545589724,135.81111850722428,135.81111850722428,135.86092459932178,136.05973812585185,135.81111850722428,135.81111850722428,117.62840750070566,150.73588004941664,80.71416166837768
ptCorr_15to20_abseta_0p0to0p8,217.97778246721634,3.6039687337858237,218.95634272784042,217.29557837229916,218.62492071113087,234.90790590223716,217.97778246721634,218.01704123397832,218.06092921262356,220.19581800701053,215.91294049955752,217.80644260117904,217.97778246721634,217.95460373859257,217.39330069038311,217.97778246721634,217.97778246721634,185.34799080645405,243.27432931971424,143.26185376685845
ptCorr_15to20_abseta_0p8to1p579,145.29365821769272,2.8951611815511367,146.3918406784317,144.8214675257908,145.74397867203868,152.44317015476895,145.29365821769272,145.23278157644035,145.42808581686643,146.66546176696852,143.48852655717664,145.27393921425235,145.29365821769272,145.4955933300577,145.71956510905596,145.29365821769272,145.29365821769272,121.3559367950395,162.4315386822582,99.27141705416297
ptCorr_15to20_abseta_1p579to2p5,130.73341404159524,2.7495445842705526,129.39965713543126,130.26934049856163,131.1770326433363,132.91131449235485,130.73341404159524,130.40554634988936,130.92107384823439,132.02456471239196,129.19260718948811,130.73341404159527,130.73341404159524,130.28554418848637,130.48659499670103,130.73341404159524,130.73341404159524,108.95008335870892,146.87439516925414,83.40974274057601
ptCorr_20to25_abseta_0p0to0p8,197.49490266068642,3.415889703787524,198.35710080155926,196.91484398039108,198.0401061365834,198.01613796574404,197.49490266068642,197.19235935075412,197.5521298623174,199.77494951955296,195.49062773360285,197.56569441565108,197.49490266068642,197.43301512456765,197.87384941764333,197.49490266068642,197.49490266068642,164.4065172457051,218.7862873674788,137.52064490281617
ptCorr_20to25_abseta_0p8to1p579,136.42437152882863,2.863865526164208,136.30513160876464,136.0205699496927,136.80708281518363,136.7527188533006,136.42437152882863,136.34485899704404,136.6559396155141,138.2549441154417,135.1475443911248,136.26476721767048,136.42437152882863,136.0813094212226,136.30601407615669,136.42437152882863,136.42437152882863,114.39103388324901,152.50219939363666,94.75784109414062
ptCorr_20to25_abseta_1p579to2p5,126.49303412370348,2.7740406965163724,126.41435130354475,125.80088587975902,127.10397460677162,126.90645155045243,126.49303412370348,126.26362619278703,126.40186173154494,127.70344328490704,125.49515718321354,126.37999849881191,126.49303412370348,126.55552853176707,127.55318557800024,126.49303412370348,126.49303412370348,105.74006571476853,140.23829731536654,84.61188601610516
ptCorr_25to35_abseta_0p0to0p8,396.5837269552559,4.8916577397053995,400.1825024468424,395.5329122683605,397.5716382542469,397.63019314225534,396.5837269552559,396.3317552978694,397.0268244540277,401.34279827895904,391.90156945654326,396.44638744167105,396.5837269552559,395.9887169103585,396.8080512836525,396.5837269552559,396.5837269552559,332.22010896331574,442.3018022693288,286.08228372641247
ptCorr_25to35_abseta_0p8to1p579,267.65509945959485,4.017614803953797,268.23334523530525,266.9267349421006,268.3434589101578,268.30018042658685,267.65509945959485,267.88530889969,267.8780771042274,271.1103946693003,265.08733493464985,267.65509945959485,267.65509945959485,267.29645587654613,268.3232908916963,267.65509945959485,267.65509945959485,225.01815791739097,299.47564151500507,192.7385647234285
ptCorr_25to35_abseta_1p579to2p5,217.61950445593362,3.6192003252889458,218.69246092772855,215.8962753497149,219.2890250407627,218.32935916922062,217.61950445593362,217.32517165112952,218.22231326357416,220.19812259158155,215.4241487616529,217.7325400808252,217.61950445593362,216.46319321228566,217.44160556764356,217.61950445593362,217.61950445593362,178.79702271529948,243.2830626894803,146.18240401855263
ptCorr_35to50_abseta_0p0to0p8,563.2061071248514,5.938873939540765,565.3005309813207,561.7326553178217,564.5829123848575,564.8788181077487,563.2061071248514,562.776717520756,563.0939317802668,567.7029295341824,557.5698085394998,563.2646976171978,563.2061071248514,562.864424811638,563.4125937290837,563.2061071248514,563.2061071248514,474.3549633740296,616.482250548139,408.23740288497595
ptCorr_35to50_abseta_0p8to1p579,347.7885650848591,4.697382319606683,351.793169187776,346.78992667140767,348.7297082831541,348.634635672945,347.7885650848591,347.2712737647471,348.1476085380018,351.402227540069,343.6764682161373,347.7885650848591,347.7885650848591,347.8248451312617,347.6991684783106,347.7885650848591,347.7885650848591,290.1314150529414,386.28186957883145,247.5376786288908
ptCorr_35to50_abseta_1p579to2p5,262.0404047972599,4.05052392903192,262.7820142808031,259.67959900963757,264.36332476716746,262.93336924626226,262.0404047972599,261.7877118934967,262.2389788674335,265.7704462411453,259.4234251589217,262.0401176945346,262.0404047972599,262.34086746658556,262.8181597981981,262.0404047972599,262.11962043611817,216.40676349472935,292.99053310068064,173.9095551426069
ptCorr_50to100_abseta_0p0to0p8,753.7768073056791,6.918065198980557,839.0775219226384,828.8524373555316,833.7572870950885,835.8961354826426,831.3718147639454,831.0293242718599,831.6835376570531,838.3110377702285,824.5501845924284,831.3515423037384,831.3718147639454,832.2749971695443,830.7741036664655,831.3718147639454,831.3960516241484,714.7150628482441,902.7576945308995,591.9643758285496
ptCorr_50to100_abseta_0p8to1p579,487.13098626698707,5.576506413401437,527.4966849177747,526.0716010498185,529.3797245350929,530.2549058158297,527.7675040298932,526.9745887494894,528.1981750230442,532.7794180648232,523.0609536423924,527.7676167009099,527.7675040298932,528.1905070466917,527.3473926385859,527.7675040298932,527.7675040298932,447.4468535225045,574.603216129623,367.212104056448
ptCorr_50to100_abseta_1p579to2p5,312.6266000639655,4.414964011712537,336.8384310738742,331.683096495413,339.1245603789697,337.9648119965206,335.42322618774455,334.9494264090249,335.5003886720505,338.2908158460389,332.2936326485305,335.4232261877446,335.42322618774455,336.06098935414394,334.31523757364613,335.42322618774455,335.42322618774455,283.8829707222423,370.5613668700213,213.98606363961449
