,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,MuonRecoSFUp,MuonRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p9,236.37506758147455,4.121231159361807,233.7535424963035,235.3438184441768,237.13277614000032,236.4663437020207,236.28379146092848,236.44503480102583,236.91215239744076,238.62563777690437,233.64413863395202,236.37506758147455,236.37506758147455,236.37506758147455,236.37506758147455,236.1411227981703,236.35433535713776,196.21363306485978,267.4100894812505,147.70858694467148
ptCorr_10to15_abseta_0p9to1p6,160.0516657197831,3.4186166324896208,157.4334564134735,159.35176564992355,160.65442856789957,160.09998456974586,160.0033468698203,160.0441073843527,160.05255885558338,161.23266676605778,158.64116373669916,160.0516657197831,160.0516657197831,160.0516657197831,160.0516657197831,159.8902817422025,159.998198771183,134.50086546220572,180.74332502231354,99.15201550632959
ptCorr_10to15_abseta_1p6to2p4,133.53485326871188,3.1201112228850536,131.68589406673775,132.57459435063703,134.47316424156702,133.6406650920357,133.42904144538804,133.4956005111626,133.71505402674498,135.12990992021255,132.39490520080423,133.53485326871188,133.53485326871188,133.53485326871188,133.53485326871188,133.2954406981676,133.94724117289667,114.60762476005996,151.78171685538453,81.94986664686861
ptCorr_15to20_abseta_0p0to0p9,208.44889561679014,3.858339718622986,207.84092503367356,207.5745654579942,209.27385589196456,208.52938805924063,208.36840317433973,208.16802373390905,208.77524513298198,210.31159996976723,206.44144168235596,208.44889561679014,208.44889561679014,208.44889561679014,208.44889561679014,208.25426618278004,208.6166962930722,174.48820644316564,236.84928563072248,144.32547559290558
ptCorr_15to20_abseta_0p9to1p6,131.73972112976242,3.0690207555110205,130.08415337402437,131.16590692463112,132.289133332829,131.77944327075681,131.69999898876802,131.6369575500774,132.03879699122515,133.17475888417272,130.39650195147797,131.73972112976242,131.73972112976242,131.73972112976242,131.73972112976242,131.72671669289775,131.9221734020909,109.75918470324207,149.61128915703415,88.88176458671103
ptCorr_15to20_abseta_1p6to2p4,107.7337109636687,2.7897391344486007,106.75291733766048,106.91557929734593,108.53597653914079,107.81805503344117,107.6493668938962,107.53006250689354,107.85844943971973,108.67377190443477,106.39335726649261,107.7337109636687,107.7337109636687,107.7337109636687,107.7337109636687,107.20082578157889,107.49771729268991,88.80308202429723,122.43732650854275,71.1940919800135
ptCorr_20to30_abseta_0p0to0p9,424.1533971321756,5.4854900254199155,424.29769267971517,422.07364432501413,426.162514804199,424.31718376586247,423.98961049848873,424.11261087172545,424.90211306170175,429.0563360553658,419.1250492363138,424.1533971321756,424.1533971321756,424.1533971321756,424.1533971321756,423.82033760515344,424.57700040782294,349.9206435299111,486.0555388481828,300.5247497984701
ptCorr_20to30_abseta_0p9to1p6,256.64136836509135,4.292600913179502,257.0864079650872,255.48191893126898,257.756327048432,256.71963258650317,256.5631041436796,256.2486639705031,257.1317705664625,260.23907776545883,253.22561635964854,256.64136836509135,256.64136836509135,256.64136836509135,256.64136836509135,256.3485791453034,256.8047762798313,211.61989807623124,294.60958152113756,183.36826228578272
ptCorr_20to30_abseta_1p6to2p4,179.69971076199565,3.5461215503210486,179.3555455616665,178.17320713218757,181.19950458749628,179.83707515237677,179.56234637161455,179.28293044106059,179.77269808997724,181.67788976693888,177.86058819245815,179.69971076199565,179.69971076199565,179.69971076199565,179.69971076199565,179.51287305294974,180.18813797379644,146.58603366962933,205.54220497692677,125.33050244746538
ptCorr_30to50_abseta_0p0to0p9,819.937780826023,7.611349509304891,828.3879434646336,815.9043260029472,823.8488124732398,820.2543994122756,819.6211622397705,819.9218337708171,820.7677206677541,829.03091193911,810.9713110901478,819.937780826023,819.937780826023,819.937780826023,819.937780826023,819.2515085880783,820.7605119142877,673.1853958070923,925.1072956954262,598.4173233101332
ptCorr_30to50_abseta_0p9to1p6,484.3222461144206,5.88797125326973,485.287226618699,482.19119875184316,486.3759128087715,484.46972404877033,484.1747681800709,483.93892053012496,484.75840575893466,488.6428069384196,479.70396965234175,484.3222461144206,484.3222461144206,484.3222461144206,484.3222461144206,483.39794062210535,484.94860191855656,394.95081015597844,547.314656760172,345.6068817997205
ptCorr_30to50_abseta_1p6to2p4,284.24219857958406,4.455995402756899,286.83355456602476,281.6506442493881,286.7929833962286,284.4443019617276,284.0400951974404,283.9830922697232,284.4505319588233,287.27486538772933,280.8554525034867,284.24219857958406,284.24219857958406,284.24219857958406,284.24219857958406,284.06495329668616,284.22957947456547,230.56234111926616,325.3958100312285,193.8347862861629
ptCorr_50to100_abseta_0p0to0p9,795.1839896250026,7.577390281231587,860.01431150049,856.7438373180072,865.9132386915862,861.7254679506573,861.0602150739996,861.1965693368222,861.921519413488,868.6037443145473,852.97027588902,861.3928415123286,861.3928415123286,861.3928415123286,861.3928415123286,862.3891043835068,860.5703809024681,735.8646028530217,941.4351622583478,613.7335409370847
ptCorr_50to100_abseta_0p9to1p6,443.69596786919584,5.657624426154265,481.92600641840784,476.53637827121685,481.2182223743079,479.06212878030624,478.76870665051433,479.0354061585535,479.02243239267005,483.1033364269872,474.14177928814195,478.9154177154105,478.9154177154105,478.9154177154105,478.9154177154105,479.79728263427313,478.32627580203615,399.84368317950015,529.3006573532481,325.3451571151693
ptCorr_50to100_abseta_1p6to2p4,230.5038673844823,4.0479715508451015,247.75575926084818,243.41310350060584,247.94921754258408,245.85220482486548,245.5381980488652,245.7927578514508,245.98538280131356,248.68509902110097,242.27538813571527,245.69520143686566,245.69520143686566,245.69520143686566,245.69520143686566,246.34636652026342,245.3662822239344,204.72374240926868,278.4118771658945,157.66678762275328
