,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,MuonRecoSFUp,MuonRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p9,51545.72776178246,773.6824126046531,51205.54725754618,51457.80849407244,51610.25623535841,51579.55090772236,51511.90461584254,52856.2255098011,49762.582916047846,55081.81957810823,47757.43685559592,51545.72776178246,51545.72776178246,51545.72776178246,51545.72776178246,51455.63917573046,51596.66758052872,24009.176825162744,140722.7398122783,3747.783529715194
ptCorr_10to15_abseta_0p9to1p6,38310.22617268429,673.9451126805635,37729.355231330905,38231.10348077711,38379.048278150956,38340.99579688564,38279.456548482936,39354.951504713,37359.92398058172,40515.959406139715,35979.035392986196,38310.22617268429,38310.22617268429,38310.22617268429,38310.22617268429,38264.9828281822,38298.03418304522,17831.9007163228,101700.92102344756,2446.8666717535907
ptCorr_10to15_abseta_1p6to2p4,39106.12838239167,669.2246301808287,38908.02013188254,38995.07093698713,39208.70227998331,39149.81406093881,39062.44270384453,40267.2317086272,38216.36484806304,41819.27746618765,36887.984140208355,39106.12838239167,39106.12838239167,39106.12838239167,39106.12838239167,39063.11078033534,39151.8273287761,19386.489353865472,99738.29753387555,2342.829717861997
ptCorr_15to20_abseta_0p0to0p9,32391.64763606565,608.2998025588612,32324.609190410192,32337.145015181904,32438.711612766157,32412.902305905434,32370.392966225852,33340.76691546564,31583.9379620518,34597.73977466884,30482.853475870805,32391.64763606565,32391.64763606565,32391.64763606565,32391.64763606565,32371.961658397035,32403.237643576238,15179.913732941004,87670.55737885393,2286.9601225108822
ptCorr_15to20_abseta_0p9to1p6,24203.426590484592,527.491828189807,24049.601692001717,24154.514812948335,24247.46401719183,24223.029514385496,24183.823666583685,25299.342467125658,23507.88622765541,25951.62717705176,22676.167914535203,24203.426590484592,24203.426590484592,24203.426590484592,24203.426590484592,24235.461546549297,24248.993138028913,11809.278085990645,65052.06482435981,1435.4745565627672
ptCorr_15to20_abseta_1p6to2p4,24701.04663530746,530.2441028554562,24564.519894638608,24638.124207519613,24759.57688434376,24728.587474489752,24673.505796125173,25455.71783343505,24033.061327923224,26324.652407703245,23171.887675908958,24701.04663530746,24701.04663530746,24701.04663530746,24701.04663530746,24712.29599007243,24775.79448574513,11771.207659438633,62478.231752854976,1421.3150134244254
ptCorr_20to30_abseta_0p0to0p9,37981.545996083594,660.5959571737812,37836.070362851664,37915.78411274162,38040.04149911811,38006.468631363576,37956.62336080359,38974.64210276279,36760.32959503535,40952.1391681784,35441.88604247014,37981.545996083594,37981.545996083594,37981.545996083594,37981.545996083594,38000.861506015404,37959.6222120876,16493.16781579824,102976.36827071376,2151.0253805144584
ptCorr_20to30_abseta_0p9to1p6,28694.42574593854,572.1933698353357,28565.134095177815,28646.29113417374,28736.51213554674,28717.464581234774,28671.386910642304,29603.194232481663,28022.096522595188,30899.538820037807,26871.635726128527,28694.42574593854,28694.42574593854,28694.42574593854,28694.42574593854,28705.274648632083,28694.70928180234,12689.690728198073,71971.43265288044,1769.0409825965583
ptCorr_20to30_abseta_1p6to2p4,28128.34384702801,564.2614904312563,27953.458052444697,28052.54412015149,28199.631094440356,28159.64168319232,28097.04601086369,29164.51983314116,27584.497700041746,30419.87621375091,26339.178381888887,28128.34384702801,28128.34384702801,28128.34384702801,28128.34384702801,28047.012939663073,28128.778356478557,13875.073968650906,66953.69844880678,1730.012416531629
ptCorr_30to50_abseta_0p0to0p9,37662.8880084159,658.0150964065668,37300.851530483895,37604.676337288554,37714.08551340643,37687.60154749937,37638.17446933242,38184.77074726836,37127.22523576416,39129.08013483439,36212.07239027744,37662.8880084159,37662.8880084159,37662.8880084159,37662.8880084159,37686.04894896467,37662.19206302507,18256.428544597195,65582.08952561246,2265.339955171185
ptCorr_30to50_abseta_0p9to1p6,25597.69659195784,538.7900484858783,25409.274370800682,25559.434643873727,25631.154935985396,25618.07830424098,25577.314879674705,25786.272714505183,25259.893817589924,26821.477968504056,24229.604725987057,25597.69659195784,25597.69659195784,25597.69659195784,25597.69659195784,25600.350969659354,25603.42537067382,13352.254464914644,44416.37160832547,1406.9770422674721
ptCorr_30to50_abseta_1p6to2p4,25488.7454010876,540.0186434849552,25186.676361820766,25427.29151218556,25545.726283478023,25517.12394744613,25460.36685472907,25868.854648282948,25085.090227218712,26582.572141515284,24312.152958293358,25488.7454010876,25488.7454010876,25488.7454010876,25488.7454010876,25529.051356744603,25457.881587393633,13650.809539889171,42079.23102456328,1375.6575672620447
ptCorr_50to100_abseta_0p0to0p9,12357.146535202051,372.4464121521277,13212.410977206631,13275.200531274862,13332.318105329161,13313.586440940588,13296.12574695428,13337.40771695619,13281.371069136261,13460.492326895728,13204.988362495045,13304.856093947445,13304.856093947445,13304.856093947445,13304.856093947445,13305.612291447891,13293.911379272588,10772.000299255458,14922.67728370068,673.543757096003
ptCorr_50to100_abseta_0p9to1p6,8614.073793527026,312.3707208704981,9303.283792739583,9298.273966989043,9339.370990040417,9327.24900221634,9312.139844401172,9275.998166270962,9297.227975432805,9411.274519373936,9186.201948705697,9319.694423308752,9319.694423308752,9319.694423308752,9319.694423308752,9339.917433113933,9278.68462028417,7690.4924324003705,10418.496113627229,410.5275546875081
ptCorr_50to100_abseta_1p6to2p4,8067.068879249182,301.564056993181,8590.850904171302,8653.195932140427,8723.32230473776,8698.56193851244,8679.257117434161,8669.570532073767,8678.551900501963,8775.94376066763,8568.469886336195,8688.909527973292,8688.909527973292,8688.909527973292,8688.909527973292,8730.677961941412,8654.200237751735,7373.470578378925,9993.035308309749,348.3157693654573
