syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(38.25100787402789, 0.11641360295157564)","(20.307466991347827, 2.787313118680661)","(0.19676118092727093, 0.13913116530794645)","(9.819863954948364, 0.7195909234183892)","(10.942033506733214, 0.18165961935371883)","(2.5945873461437188, 0.24600474540143002)"
L1PrefireUp,"(38.05681108797063, 0.11590379422973632)",-,-,"(9.746566459500722, 0.7163047264514687)","(10.86824556625064, 0.18055781243128663)","(2.5637127337044934, 0.2449780812307214)"
L1PrefireDown,"(38.442410141794426, 0.11692915324629578)",-,-,"(9.892629273750874, 0.7229932331532756)","(11.015327485576766, 0.18279523364128578)","(2.6258047446104102, 0.2470154471037763)"
PileupReweightUp,"(38.281931195503624, 0.12127671248944796)",-,-,"(9.985482203270589, 0.7522237345956767)","(10.909067248707194, 0.18723783906751068)","(2.534376649052261, 0.24202520998246863)"
PileupReweightDown,"(38.20496102622123, 0.11698180797492415)",-,-,"(9.816400533532372, 0.7271829274670536)","(10.960973377676797, 0.1832777869011581)","(2.6434555790122523, 0.2721020899003357)"
MuonIDSFUp,"(38.564007109704924, 0.11735709246700006)",-,-,"(9.907135058242556, 0.725236272474601)","(11.029682606738032, 0.18310941002193176)","(2.617581689344884, 0.24739469199977998)"
MuonIDSFDown,"(37.940124835441466, 0.11548183887812216)",-,-,"(9.733232181193376, 0.7140261854802155)","(10.8549648786166, 0.1802271969602229)","(2.5717811852756185, 0.24462357517082664)"
DblMuTrigSFUp,"(38.28434183741192, 0.11651382110149476)",-,-,"(9.828235053953653, 0.7201411720140124)","(10.951231075685481, 0.18181226627053876)","(2.596694309282494, 0.2460902082119615)"
DblMuTrigSFDown,"(38.21753789917028, 0.11631303384895657)",-,-,"(9.811445668457555, 0.719038418882936)","(10.932799312460187, 0.18150643789660786)","(2.5924698510951494, 0.24591941820032462)"
JetResUp,"(38.66031421198268, 0.11706075710661515)",-,-,"(9.73896197034983, 0.7203524861194286)","(10.974628410668807, 0.18139230749967894)","(2.592325758367597, 0.24618831907006486)"
JetResDown,"(37.802909633521985, 0.11566703903057857)",-,-,"(9.882812806223265, 0.711525429064267)","(10.957987095413422, 0.18143674241609767)","(2.5883937285908396, 0.24634694366834642)"
JetEnUp,"(39.52758152443531, 0.11840208615724367)",-,-,"(10.303026572290214, 0.7447281275691829)","(11.025194695832, 0.1821630339929459)","(2.605183262111307, 0.24624304065987276)"
JetEnDown,"(36.980238747688915, 0.11439702056166466)",-,-,"(9.643623233974726, 0.704470420850741)","(10.90646800010999, 0.1811519374294196)","(2.53615927404762, 0.24574492547097695)"
MuonEnUp,"(38.28031768371675, 0.11643419983062987)",-,-,"(9.698813651196513, 0.7211867906315136)","(10.94428879296763, 0.18175943741800296)","(2.6178944349354145, 0.24604573720157957)"
MuonEnDown,"(38.22222619503809, 0.11639170677267383)",-,-,"(9.983385037725423, 0.7187430331571453)","(10.9499026406118, 0.18175714193764658)","(2.7953973940887895, 0.1937921906633998)"
NonpromptUp,-,"(24.581930471622055, 3.3480087617428946)",-,-,-,-
NonpromptDown,-,"(16.449615270742676, 2.307247424381095)",-,-,-,-
ConversionUp,-,-,"(0.21513100072338548, 0.15212058945495394)",-,-,-
ConversionDown,-,-,"(0.17839136113115645, 0.126141741160939)",-,-,-
